sorted_dist_list,cdf_vlpn,null_cdf_vlpn
14.45824009,0.0839160839160839,0.0222222222222222
15.6241373,0.0979020979020979,0.0444444444444444
16.53177411,0.181818181818182,0.0666666666666667
17.99774869,0.20979020979021,0.0888888888888889
19.69314164,0.314685314685315,0.111111111111111
21.57693655,0.384615384615385,0.133333333333333
24.11938825,0.398601398601399,0.155555555555556
26.91183377,0.426573426573427,0.177777777777778
26.94888569,0.482517482517482,0.2
27.43233117,0.559440559440559,0.222222222222222
28.57639663,0.559440559440559,0.244444444444444
30.26840458,0.685314685314685,0.266666666666667
30.56426257,0.692307692307692,0.288888888888889
31.9758219,0.692307692307692,0.311111111111111
33.34794484,0.692307692307692,0.333333333333333
34.65258352,0.692307692307692,0.355555555555556
35.07445945,0.692307692307692,0.377777777777778
37.02872349,0.762237762237762,0.4
37.05998687,0.776223776223776,0.422222222222222
37.33913119,0.776223776223776,0.444444444444444
39.34962225,0.776223776223776,0.466666666666667
41.59911296,0.811188811188811,0.488888888888889
45.69379946,0.825174825174825,0.511111111111111
45.98251873,0.846153846153846,0.533333333333333
46.24766236,0.846153846153846,0.555555555555556
46.30686384,0.846153846153846,0.577777777777778
47.06716611,0.846153846153846,0.6
48.79120666,0.846153846153846,0.622222222222222
49.91598276,0.86013986013986,0.644444444444444
50.15902677,0.923076923076923,0.666666666666667
51.22292693,0.923076923076923,0.688888888888889
52.69413402,0.923076923076923,0.711111111111111
54.04891861,0.958041958041958,0.733333333333333
54.43391824,0.965034965034965,0.755555555555556
55.07739525,0.965034965034965,0.777777777777778
55.08057892,0.986013986013986,0.8
59.93434437,0.986013986013986,0.822222222222222
63.73095941,0.986013986013986,0.844444444444444
64.32752861,0.986013986013986,0.866666666666667
67.15189044,1,0.888888888888889
71.41319625,1,0.911111111111111
77.13963157,1,0.933333333333333
77.33372411,1,0.955555555555556
78.25065072,1,0.977777777777778
86.61698435,1,1
