Row,LC17,LPLC2,LC4,LC25,LPLC1,LC18,LC15,LC11,LC21,LC12
LC17,1,0.909624100526555,0.670778281781305,0.556057941551531,0.939561753765178,0.530651071304106,0.379069396013121,0.625082977772099,0.545893758142944,0.779900690306469
LPLC2,0.909624100526555,1,0.745849037657244,0.434470635122278,0.893168834413034,0.36530668086796,0.261655225769934,0.451602443492307,0.34768735467319,0.742065883847304
LC4,0.670778281781305,0.745849037657244,1,0.68525572434799,0.758233570920421,0.470400174069699,0.507533569952113,0.558136890629519,0.470643229857642,0.869249287789299
LC25,0.556057941551531,0.434470635122278,0.68525572434799,1,0.578757354102726,0.758586695147628,0.831513972928658,0.73219971694111,0.841382145015566,0.752290652405498
LPLC1,0.939561753765178,0.893168834413034,0.758233570920421,0.578757354102726,1,0.527802686755659,0.39972048111298,0.715785651018217,0.551166279069526,0.8789085418372
LC18,0.530651071304106,0.36530668086796,0.470400174069699,0.758586695147628,0.527802686755659,1,0.566428997233578,0.82866745775673,0.893338721950698,0.673473772552635
LC15,0.379069396013121,0.261655225769933,0.507533569952113,0.831513972928658,0.39972048111298,0.566428997233578,1,0.580063170292375,0.795484920651414,0.599155581805457
LC11,0.625082977772099,0.451602443492307,0.558136890629519,0.73219971694111,0.715785651018217,0.82866745775673,0.580063170292375,1,0.871305847518841,0.821470227993432
LC21,0.545893758142944,0.34768735467319,0.470643229857642,0.841382145015566,0.551166279069526,0.893338721950698,0.795484920651414,0.871305847518841,1,0.700914457564983
LC12,0.779900690306469,0.742065883847304,0.869249287789299,0.752290652405498,0.8789085418372,0.673473772552635,0.599155581805457,0.821470227993432,0.700914457564983,1
