LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC25,1344086667,1,PVL04ov_pct,770585045
LC25,1344086667,1,PVL10w_c_pct,1190409318
LC25,1344086667,1,AVL11r_b_pct,1537807327
LC25,1344086667,1,ADL02oe_pct,701201945
LC25,1344086667,1,ADL14m_a_pct,858838262
LC25,1344086667,1,PDL09ob_pct,1474062225
LC25,1344086667,2,AVL19g_pct,5812989875
LC25,1344086667,1,LC15,1346460600
LC25,1344086667,1,AVL01j_pct,1346560069
LC25,1344086667,1,PVL09oe_pct,604773096
LC25,1344086667,3,AVL13v_pct,1507109459
LC25,1344086667,1,AVL26b_pct,951934183
LC25,1344086667,1,AVL11f_pct,1137503987
LC25,1344086667,1,LC25,1776886049
LC25,1344086667,1,PVL05ok_pct,1352331062
LC25,1344086667,1,PVL04a_a_pct,5812982994
LC25,1344086667,1,ADL01ot_pct,1321564092
LC25,1344086667,2,AVL02t_pct,1537130680
LC25,1344086667,1,PVL10t_b_pct,974027716
LC25,1344086667,1,,1722310842
LC25,1344086667,1,LC24,1346788757
LC25,1344086667,1,,1379644459
LC25,1344086667,1,AVM08k_pct,1287645091
LC25,1344086667,1,AVL05s_b_pct,1442699865
LC25,1344086667,1,AVM08i_pct,1290227332
LC25,1344086667,1,LC15,2026862112
LC25,1344086667,2,PDL09oc_pct,1007550646
LC25,1344086667,2,AVL11r_a_pct,1508127542
LC25,1344086667,2,AVL05od_pct,1417768398
LC25,1344086667,1,PVL10t_a_pct,1289574568
LC25,1344086667,1,LC6,1198477590
LC25,1344086667,1,LC15,1745510607
LC25,1344086667,1,LC25,1624083046
LC25,1344086667,1,PDM09og_pct,702760942
LC25,1344086667,1,PVL18d_pct,642629807
LC25,1344086667,1,AVL11p_b_pct,1480516899
LC25,1344086667,3,AVL05s_b_pct,1476782322
LC25,1344086667,1,PVL03og_pct,1476824820
LC25,1344086667,1,PVL10t_a_pct,1381656679
LC25,1344086667,1,AVM08h_a_pct,1507449839
LC25,1344086667,1,PDM12v_pct,946495259
LC25,1344086667,1,AVL13v_pct,1507446255
LC25,1344086667,1,ADL28b_pct,1138855577
LC25,1344086667,1,AVL08g_pct,1356743173
LC25,1344086667,1,PDL09x_pct,1375504403
LC25,1344086667,1,AVL02s_pct,1509146177
LC25,1344086667,2,PVL10t_b_pct,1319583458
LC25,1344086667,2,PDL09z_pct,1128200628
LC25,1344086667,2,AVL11y_a_pct,1352315133
LC25,1344086667,1,AVL05s_a_pct,1412670439
LC25,1315084914,1,,1355750029
LC25,1315084914,1,AVL13e_b_pct,1288530238
LC25,1315084914,1,AVL19d_pct,1446101389
LC25,1315084914,1,AVL03ov_pct,1259230618
LC25,1315084914,2,LC25,1382002299
LC25,1315084914,1,LC15,1537456949
LC25,1315084914,1,,1663639752
LC25,1315084914,1,PVL10t_b_pct,1319583458
LC25,1315084914,1,ADL14m_c_pct,5813075410
LC25,1315084914,1,PDL11oa_pct,447228814
LC25,1315084914,1,LC15,5813016851
LC25,1315084914,1,LC25,1875409122
LC25,1315084914,1,AVL07b_pct,1412700292
LC25,1315084914,1,LC6,1231955783
LC25,1315084914,1,PDL09x_pct,1344469603
LC25,1315084914,1,AVL08g_pct,1357088864
LC25,1315084914,1,AVL05s_a_pct,1442029850
LC25,1315084914,1,PDL09r_pct,5813038177
LC25,1315084914,1,ADL14q_pct,1073691439
LC25,1315084914,1,AVL02ot_pct,5813070613
LC25,1315084914,1,AVL02oh_pct,1353031856
LC25,1315084914,1,PVL10y_b_pct,1351667174
LC25,1315084914,2,,1167541601
LC25,1315084914,1,PDL13e_pct,577123102
LC25,1315084914,2,ADL28b_pct,1138855577
LC25,1315084914,1,,1568190925
LC25,1315084914,1,LT1,5813023353
LC25,1315084914,1,LC15,1508118556
LC25,1315084914,1,LC15,1538476539
LC25,1315084914,1,PVL04ov_pct,1161399526
LC25,1315084914,1,AVL02s_pct,1509146177
LC25,1315084914,1,PDL09z_pct,1128200628
LC25,1315084914,1,PDL09m_pct,1130714433
LC25,1315084914,1,ADL14m_c_pct,581599704
LC25,1315084914,5,AVL13v_pct,1507109459
LC25,1315084914,1,PDL09ob_pct,1474062225
LC25,1315084914,1,PDL09oc_pct,1007550646
LC25,1315084914,1,PVL03og_pct,1476824820
LC25,1315084914,3,AVL11r_a_pct,1508127542
LC25,1315084914,2,PVL10t_a_pct,1289574568
LC25,1315084914,2,AVL05od_pct,1417768398
LC25,1315084914,2,PVL03og_pct,1446061566
LC25,1315084914,1,AVL13v_pct,1507446255
LC25,1315084914,1,AVL02old_pct,5813053863
LC25,1315084914,1,AVL16f_pct,1477774797
LC25,1315084914,1,LC21,1503413797
LC25,1315084914,2,,1569205173
LC25,1315084914,1,PVL03y_pct,1345860891
LC25,1315084914,1,AVL19g_pct,1601228600
LC25,1315084914,2,AVL02olb_pct,1074484603
LC25,1315084914,2,LC25,1344086667
LC25,1315084914,1,PDM09og_pct,702760942
LC25,1315084914,1,PDL09r_pct,1226831477
LC25,1315084914,1,PVL05oy_pct,1632016438
LC25,1315084914,1,PDM26a_pct,1038926500
LC25,1315084914,4,AVL11f_pct,1137503987
LC25,1315084914,2,ADL02oe_pct,701201945
LC25,2001633881,1,PVL02c_pct,1006146837
LC25,2001633881,1,AVL13e_b_pct,1288530238
LC25,2001633881,1,PVL10v_a_pct,977910262
LC25,2001633881,1,ADL14q_pct,5813048443
LC25,2001633881,1,,5813041172
LC25,2001633881,1,ADL07d_pct,727889637
LC25,2001633881,1,AVL05s_a_pct,1412670439
LC25,2001633881,1,AVL09v_pct,857793013
LC25,2001633881,1,LC24,1256490442
LC25,2001633881,1,LC25,1344086667
LC25,2001633881,1,PDL09n_pct,977222655
LC25,2001633881,1,AVL05s_b_pct,1476782322
LC25,2001633881,1,AVL19h_pct,1509215949
LC25,2001633881,1,,883418989
LC25,2001633881,1,AVL03m_a_pct,1505152580
LC25,2001633881,1,AVM08k_pct,1287645091
LC25,2001633881,6,PDL09oc_pct,1007550646
LC25,2001633881,1,PVL04ov_pct,1161399526
LC25,2001633881,1,AVM08i_pct,1290227332
LC25,2001633881,1,PDL12v_a_pct,977218524
LC25,2001633881,1,PDM07oo_pct,610321430
LC25,2001633881,3,PDL28a_pct,1069632261
LC25,2001633881,1,LC25,1315084914
LC25,2001633881,1,AVL02t_pct,1511593574
LC25,2001633881,1,AVL13v_pct,1507446255
LC25,2001633881,1,LC25,1624083046
LC25,2001633881,6,PDL28a_pct,1008253493
LC25,2001633881,2,PDL09e_pct,574395727
LC25,2001633881,1,PDL12v_a_pct,881596353
LC25,1498582584,1,PDM09og_pct,702760942
LC25,1498582584,1,,883418989
LC25,1498582584,1,LC24,5812987748
LC25,1498582584,1,ADL12a_b_pct,950928506
LC25,1498582584,1,PDM07oo_pct,610321430
LC25,1498582584,1,LC25,1412332938
LC25,1498582584,1,AVL13v_pct,1507109459
LC25,1498582584,1,PVL03oh_pct,1480525330
LC25,1498582584,1,AVL05s_b_pct,1476782322
LC25,1498582584,1,PVL04a_a_pct,5812982994
LC25,1498582584,1,PDL06y_pct,792079254
LC25,1498582584,1,AVL08a_pct,884450920
LC25,1498582584,1,AVL02t_pct,1511593574
LC25,1498582584,1,,1167541601
LC25,1498582584,1,,1722310842
LC25,1498582584,1,AVL16f_pct,1477774797
LC25,1498582584,1,AVL05od_pct,1417768398
LC25,1498582584,1,AVM14p_pct,977223393
LC25,1498582584,1,AVL26b_pct,951934183
LC25,1498582584,1,,5813041172
LC25,1498582584,1,PVL03t_pct,884122973
LC25,1498582584,1,LC6,1199159635
LC25,1498582584,2,AVL13v_pct,1507446255
LC25,1498582584,3,PDL09oc_pct,1007550646
LC25,1498582584,1,PVL10t_b_pct,1319583458
LC25,1498582584,1,PDL17n_pct,665169278
LC25,1498582584,3,PVL03og_pct,1476824820
LC25,1498582584,1,AVL03s_pct,796754549
LC25,1498582584,1,ADL14s_pct,737093754
LC25,1498582584,1,LC24,1256490714
LC25,1498582584,4,AVL11r_a_pct,1508127542
LC25,1498582584,1,AVL10e_pct,5813041323
LC25,1498582584,1,PDL28a_pct,1008253493
LC25,1498582584,1,,1320277749
LC25,1498582584,1,PDL09q_pct,1288202406
LC25,1498582584,2,ADL14q_pct,1073691439
LC25,2088950218,1,AVL13v_pct,1507446255
LC25,2088950218,1,PDL09e_pct,574395727
LC25,2088950218,1,PDL09y_b_pct,1192744779
LC25,2088950218,1,,1535432441
LC25,2088950218,1,PDL28a_pct,1008253493
LC25,2088950218,1,PVL10t_a_pct,1289574568
LC25,2088950218,1,AVL07c_pct,1320622829
LC25,2088950218,1,PDL12v_a_pct,977218524
LC25,2088950218,1,AVL11j_pct,1289213295
LC25,2088950218,1,PVL10t_a_pct,912290165
LC25,2088950218,1,AVL13e_b_pct,1288530238
LC25,2088950218,1,LC16,1288897699
LC25,2088950218,1,PVL14i_pct,1470996844
LC25,2088950218,1,ADL14s_pct,737093754
LC25,2088950218,2,ADL04w_pct,453018720
LC25,2088950218,1,PDM06c_pct,644757911
LC25,2088950218,1,PVL05h_pct,919513165
LC25,2088950218,1,AVL09v_pct,857793013
LC25,2088950218,1,PVL05oy_pct,1632016438
LC25,2088950218,1,ADL14m_c_pct,768806088
