LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC20,1902066682,1,PDL09i_pct,1227135350
LC20,1902066682,1,,1345519875
LC20,1902066682,1,,1005849475
LC20,1902066682,1,,5813058236
LC20,1902066682,1,LC20,2186155295
LC20,1902066682,1,PVL13j_pct,1188004374
LC20,1902066682,2,PDM26e_pct,1344858936
LC20,1902066682,1,,1069282849
LC20,1902066682,1,,2122026858
LC20,1902066682,1,,2215808978
LC20,1902066682,2,,672598344
LC20,1902066682,2,PDM36c_pct,1007256476
LC20,1902066682,2,PVL21e_pct,787563782
LC20,1902066682,1,,5813123049
LC20,1902066682,4,PDM16g_pct,790668991
LC20,1902066682,1,PVM10k_pct,884481648
LC20,1902066682,1,PVL03a_pct,1222769755
LC20,1687844304,1,AVM08m_pct,1229521890
LC20,1687844304,1,PVL11x_pct,858117772
LC20,1687844304,1,olfactory multi lPN t-mALT,1978573010
LC20,1687844304,1,PDL26j_pct,542679122
LC20,1687844304,1,AVL12w_pct,1006859972
LC20,1687844304,1,ADL16a_pct,482633514
LC20,1687844304,1,PVL09z_pct,1161688286
LC20,1687844304,1,,1811012154
LC20,1687844304,1,PDL13c_pct,510623727
LC20,1687844304,2,PDL15g_pct,674096140
LC20,1687844304,2,,1286859512
LC20,1687844304,2,AVM08m_pct,5813076344
LC20,1687844304,1,PDL20g_pct,821007911
LC20,1687844304,1,,1288172070
LC20,1687844304,1,,1096963197
LC20,1687844304,1,AVL12c_pct,1041343016
LC20,1687844304,1,AVL06k_pct,859144723
LC20,1687844304,1,aMe17E,5813027248
LC20,1687844304,1,AVL11n_a_pct,1447093754
LC20,1687844304,1,PDL12x_pct,943425979
LC20,1687844304,1,PVL14e_c_pct,914100101
LC20,1687844304,1,,1037895459
LC20,1687844304,1,PVL14e_e_pct,976515311
LC20,1687844304,1,ADL03b_pct,914130079
LC20,1687844304,2,ADL01oa_pct,885132185
LC20,1687844304,5,PDM08oa_pct,821003563
LC20,1687844304,1,PDL05oi_pct,357224041
LC20,1687844304,1,PVL14e_c_pct,883415496
LC20,1687844304,1,ADL29c_pct,673068602
LC20,1687844304,1,PVL01c_pct,883415238
LC20,1687844304,1,PDL21n_a_pct,670353384
LC20,1687844304,1,PDL12k_pct,729957687
LC20,1687844304,1,AVL12g_pct,541326096
LC20,1687844304,2,PDL07d_pct,5813049920
LC20,1687844304,2,AVL06olc_pct,852738675
LC20,1687844304,2,PDM12u_pct,545385576
LC20,1687844304,2,PDL12k_pct,5812981058
LC20,1687844304,1,AVM08k_pct,1287645091
LC20,1687844304,1,PDL09od_pct,1037553548
LC20,1687844304,1,ADL12b_b_pct,576843029
LC20,1315464724,1,LC20,5901199075
LC20,1315464724,1,,1160272479
LC20,1315464724,1,LC20,1409604476
LC20,1315464724,1,PDM27c_pct,5813056020
