LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LPLC1,1189230326,1,PVL03of_pct,1437902499
LPLC1,1189230326,1,LPLC1,1690011142
LPLC1,1189230326,1,LPLC1,1689994325
LPLC1,1189230326,1,,1596933037
LPLC1,1189230326,1,AVL05or_pct,1628291400
LPLC1,1189230326,1,PVL07s_pct,1480525262
LPLC1,1189230326,1,,1720402764
LPLC1,1189230326,1,LPLC1,1222332850
LPLC1,1189230326,1,LPLC1,5812998137
LPLC1,1189230326,1,,1724422385
LPLC1,1189230326,3,LPLC1,1689989557
LPLC1,1189230326,1,ADM03e_pct,976575766
LPLC1,1189230326,3,LPLC1,1627890175
LPLC1,1189230326,1,PVM01z_pct,1628274418
LPLC1,1189230326,1,PVL05od_pct,1566506400
LPLC1,1189230326,1,LPLC1,1746858454
LPLC1,1189230326,1,PDL09m_pct,1130714433
LPLC1,1189230326,2,PVL03oe_pct,1350924364
LPLC1,1189230326,1,,5813054604
LPLC1,1189230326,2,AVL10c_pct,1069667685
LPLC1,1189230326,2,PVL05od_pct,1163120884
LPLC1,1189230326,1,LPLC1,5812994062
LPLC1,1189230326,1,AVL24a_pct,1169178299
LPLC1,1189230326,1,PVL07j_pct,5813047489
LPLC1,1189230326,1,LPLC1,1721020290
LPLC1,1189230326,2,,5812989989
LPLC1,1189230326,3,LPLC1,5812994826
LPLC1,1189230326,2,LPLC1,1690011290
LPLC1,1189230326,2,AVM14oi_pct,915179102
LPLC1,1189230326,5,LPLC1,1813054194
LPLC1,1189230326,4,PVL05a_a_pct,1599902570
LPLC1,1189230326,2,LPLC1,5813042873
LPLC1,1189230326,2,LPLC1,5813045792
LPLC1,1189230326,1,,1375206889
LPLC1,1189230326,3,PVL05ot_pct,1630281172
LPLC1,1189230326,1,LPLC1,1781674298
LPLC1,1189230326,1,DNa07,1262356170
LPLC1,1189230326,2,PVL05ot_pct,1660267880
LPLC1,1189230326,1,,5813059915
LPLC1,1189230326,4,LPLC1,1220257051
LPLC1,1189230326,2,PVL05og_pct,1745570620
LPLC1,1189230326,1,AVL10c_pct,1539879164
LPLC1,1189230326,1,PVL03oe_pct,1157202283
LPLC1,1189230326,2,LPLC1,1659331215
LPLC1,1189230326,1,PVM01os_pct,1414785595
LPLC1,1189230326,4,PVL05on_pct,1570249860
LPLC1,1189230326,1,ADM03e_pct,1038636222
LPLC1,1189230326,1,AVM08n_pct,1604440343
LPLC1,1189230326,2,PVM01ot_pct,1658963980
LPLC1,1189230326,3,LPLC1,1658643766
LPLC1,1189230326,3,LPLC1,1404446113
LPLC1,1189230326,3,LPLC1,5813055080
LPLC1,1189230326,3,LPLC1,1469947367
LPLC1,1189230326,2,LPLC1,1689993656
LPLC1,1189230326,2,PVL05oq_pct,5813021112
LPLC1,1189230326,7,LPLC1,1689994034
LPLC1,1189230326,5,LPLC1,1781328716
LPLC1,1189230326,4,LPLC1,1689994425
LPLC1,1189230326,4,LPLC1,1344392982
LPLC1,1189230326,2,PVL05lb_pct,1539879204
LPLC1,1189230326,3,PVL15t_pct,5813037812
LPLC1,1189230326,2,LPLC1,2059295981
LPLC1,1189230326,15,PVM01ot_pct,5813069523
LPLC1,1189230326,1,,1751028010
LPLC1,1189230326,2,,1751364895
LPLC1,1189230326,5,,1385093648
LPLC1,1189230326,2,LPLC1,1343045604
LPLC1,1189230326,10,PVL03of_pct,1443040649
LPLC1,1189230326,2,PVL07s_pct,1449486007
LPLC1,1189230326,5,LPLC1,1658990108
LPLC1,1189230326,3,LPLC1,1813399871
LPLC1,1189230326,3,LPLC1,5813031567
LPLC1,1189230326,5,LPLC1,1439203192
LPLC1,1189230326,3,AVL05og_pct,1570565128
