LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC6,1231619255,2,AVL07op_pct,1351999057
LC6,1231619255,1,LC6,1231955783
LC6,1231619255,1,ADL02oe_pct,701201945
LC6,1231619255,1,LC6,1200195625
LC6,1231619255,1,LC6,1199855170
LC6,1231619255,2,,5812981085
LC6,1231619255,1,AVL25c_pct,5813053836
LC6,1231619255,1,PDL09p_pct,1002360103
LC6,1231619255,1,LC10,1167433991
LC6,1231619255,2,PDM12m_pct,769263962
LC6,1231619255,1,LC6,1232257688
LC6,1231619255,1,ADM03r_pct,1078517402
LC6,1231619255,1,LC6,1231955819
LC6,1231619255,1,LC6,1167097258
LC6,1231619255,1,ADL14r_pct,949904655
LC6,1231619255,1,LC6,1293011130
LC6,1231619255,1,PVL03og_pct,1437224617
LC6,1231619255,1,LC6,1720950695
LC6,1231619255,1,PVL03of_pct,1437902499
LC6,1231619255,1,LC6,1168815348
LC6,1231619255,1,LC6,1201568417
LC6,1231619255,3,PVL10t_b_pct,974027716
LC6,1231619255,1,LC6,1261220560
LC6,1231619255,3,LC6,1232249325
LC6,1231619255,1,AVL03w_b_pct,921235264
LC6,1231619255,1,,1066542063
LC6,1231619255,2,AVL05os_pct,1474736336
LC6,1231619255,1,LC6,1167438189
LC6,1231619255,2,ADL14m_c_pct,581599704
LC6,1231619255,1,AVL03lg_pct,1043696281
LC6,1231619255,1,AVL05os_pct,1446756739
LC6,1231619255,1,ADL13a_pct,5813021533
LC6,1231619255,4,ADL14m_a_pct,828826327
LC6,1231619255,1,LC6,1232594718
LC6,1231619255,2,AVL06oi_pct,5813021583
LC6,1231619255,2,LC6,1198132028
LC6,1231619255,1,PVL04og_pct,5813079288
LC6,1231619255,5,,705722736
LC6,1231619255,1,AVL07ov_pct,852302293
LC6,1231619255,1,AVL03lg_pct,5812986197
LC6,1231619255,3,PVL10y_b_pct,1351667174
LC6,1231619255,2,LC6,1230190149
LC6,1231619255,2,AVL10e_pct,5813041323
LC6,1231619255,3,,858842517
LC6,1231619255,1,PVL07oi_pct,5813057579
LC6,1231619255,2,AVL03lg_pct,1135112830
LC6,1231619255,1,LC6,1167438288
LC6,1231619255,1,AVL03q_pct,1102407288
LC6,1231619255,4,PVL19h_pct,1312061760
LC6,1231619255,2,LC6,1200541193
LC6,1231619255,1,PDL09oc_pct,1007550646
LC6,1231619255,1,ADL14k_pct,797796343
LC6,1231619255,1,,1320277749
LC6,1231619255,3,LC6,1199159635
LC6,1231619255,2,PVL04ok_pct,638148241
LC6,1231619255,4,PDL09r_pct,1289920105
LC6,1231619255,1,LC6,1259852010
LC6,1231619255,2,PVL10y_b_pct,1352335943
LC6,1231619255,4,PVL05p_pct,1383703581
LC6,1231619255,2,AVL03lf_pct,1320286990
LC6,1231619255,2,LC6,1169847128
LC6,1231619255,1,ADL12q_pct,891914014
LC6,1231619255,2,PDL09y_b_pct,1192744779
LC6,1231619255,1,,5813061112
LC6,1231619255,7,PVL15z_pct,5813023322
LC6,1231619255,1,AVL03q_pct,1009980185
LC6,1231619255,6,ADL02ob_pct,676479217
LC6,1231619255,5,ADL14q_pct,1073691439
LC6,1231619255,13,ADL14m_a_pct,858838262
LC6,1231619255,4,PVL05oy_pct,1632016438
LC6,1231619255,1,LC6,1232262131
LC6,1231619255,3,,426489841
LC6,1231619255,3,LC6,1201568464
LC6,1231619255,5,PVL05ox_pct,796733478
LC6,1231619255,1,ADL14m_c_pct,5813070572
LC6,1231619255,1,LC6,1259851971
LC6,1231619255,1,ADL14r_pct,1293688646
LC6,1231619255,8,ADL14q_pct,5813048443
LC6,1231619255,1,PVL05ol_pct,1446762036
LC6,1231619255,17,ADL14m_a_pct,889535602
LC6,1231619255,2,AVL03ov_pct,1259230618
LC6,1231619255,2,AVL10e_pct,889852017
LC6,1231619255,2,PVL06y_b_pct,1343804739
LC6,1231619255,1,ADL19r_pct,670547617
LC6,1231619255,1,AVL07ot_pct,1037510115
LC6,1231619255,3,AVL03q_pct,1162081064
LC6,1231619255,1,PDL09n_pct,1099981052
LC6,1231619255,1,LC6,1100558968
LC6,1231619255,4,AVL06b_pct,1100357249
LC6,1231619255,5,PVL06z_pct,1188599723
LC6,1231619255,8,ADL14m_a_pct,5813026724
LC6,1231619255,8,PVLP001,1068885266
LC6,1231619255,2,AVL02s_pct,1386780502
LC6,1231619255,6,AVL19c_pct,5813068559
LC6,1231619255,19,ADL14m_a_pct,674687388
LC6,1231619255,8,ADL14m_a_pct,519909788
LC6,1231619255,3,PVM13d_pct,1320976955
LC6,1231619255,4,PVL10t_b_pct,1319583458
LC6,5813090856,1,LC6,1563389824
LC6,5813090856,1,AVL11i_pct,1196816048
LC6,5813090856,1,LC6,1200541130
LC6,5813090856,1,,426489829
LC6,5813090856,1,LC6,1938536260
LC6,5813090856,1,LC6,1232262131
LC6,5813090856,1,MC65,1470980397
LC6,5813090856,1,LC9,1167438034
LC6,5813090856,1,PVL03k_pct,974839706
LC6,5813090856,1,PVL05p_pct,1383703581
LC6,5813090856,1,LC6,1627509034
LC6,5813090856,1,ADL05a_pct,5813078261
LC6,5813090856,2,PDL09r_pct,1226831477
LC6,5813090856,1,LC6,1292670202
