LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC11,1158191562,1,PVL04q_pct,1228877958
LC11,1158191562,1,LC11,1533723752
LC11,1158191562,1,AVL04olb,1005857944
LC11,1158191562,1,LC11,1532410248
LC11,1158191562,1,LC11,1566856415
LC11,1158191562,1,LC11,1532405813
LC11,1158191562,1,AVL20c_pct,1600589700
LC11,1158191562,1,aIPg4,861251038
LC11,1158191562,1,LC11,1562404815
LC11,1158191562,1,LC11,1563436481
LC11,1158191562,2,AVL02s_pct,1476777923
LC11,1158191562,2,LC11,1188885499
LC11,1158191562,2,AVM08olb_pct,1633686836
LC11,1158191562,1,LC11,5812987890
LC11,1158191562,2,LC11,1563441250
LC11,1158191562,2,LC11,5812990470
LC11,1158191562,1,LC11,1566173909
LC11,1158191562,1,LC11,1563436478
LC11,1158191562,2,LC11,1280971174
LC11,1158191562,1,LC11,1563095512
LC11,1158191562,2,LC11,1564123481
LC11,1158191562,2,LC11,1497875250
LC11,1158191562,1,LC11,1747569967
LC11,1158191562,5,LC11,1564075996
LC11,1158191562,2,LC11,1566511014
LC11,1158191562,1,AVL05s_c_pct,1474757586
LC11,1158191562,1,LC11,1563782253
LC11,1158191562,1,PVL05lb_pct,1539189146
LC11,1158191562,3,LC11,1559948889
LC11,1158191562,1,LC11,1561304414
LC11,1158191562,1,,1385093648
LC11,1158191562,2,AVL13e_a_pct,1474084639
LC11,1158191562,2,AVM08og_pct,1290961410
LC11,1158191562,1,AVL19q_pct,1448452947
LC11,1158191562,1,LC11,1563436471
LC11,1158191562,2,AVL10t_pct,1536157927
LC11,1158191562,1,PDM09j_pct,604709727
LC11,1158191562,3,PVL12a_pct,1535082316
LC11,1158191562,1,LC11,1562054982
LC11,1158191562,4,LC11,1594812379
LC11,1158191562,2,AVL18z_pct,1598232593
LC11,1158191562,3,AVL13od_pct,1511888459
LC11,1158191562,1,AVL11r_a_pct,1508128473
LC11,1158191562,1,AVM08i_pct,1385032953
LC11,1158191562,2,PDL09v_pct,1344810847
LC11,1158191562,1,PVM01ov_pct,1564157830
LC11,1158191562,1,PVL07r_pct,5813040285
LC11,1158191562,1,LC11,2121707030
LC11,1158191562,3,PVL07w_pct,1435791739
LC11,1158191562,1,PVL11ola_pct,5813068748
LC11,1158191562,1,PVL10w_a_pct,1534448605
LC11,1158191562,3,ADM03e_pct,5901215703
LC11,1158191562,1,LC11,5812988961
LC11,1158191562,5,ADL26e_pct,5813027276
LC11,1158191562,1,,1597554683
LC11,1158191562,3,LC11,1687874335
LC11,1158191562,1,PDL09i_pct,1227135350
LC11,1158191562,2,AVL08g_pct,1357438446
LC11,1158191562,4,ADL01ot_pct,1321564092
LC11,1158191562,4,ADL02oa_pct,1043143311
LC11,1158191562,2,LC11,1566528972
LC11,1158191562,3,LC11,1905114003
LC11,1158191562,1,LC11,1499226615
LC11,1158191562,1,AVL10od_pct,1352335144
LC11,1158191562,3,AVL05x_pct,1044011735
LC11,1158191562,2,PVL12a_pct,1535086505
LC11,1158191562,1,LC11,1565833050
LC11,1158191562,1,LC11,1566514866
LC11,1158191562,2,LC11,1594126040
LC11,1158191562,8,AVL10t_pct,1535144316
LC11,1158191562,2,LC11,5812988296
LC11,1158191562,7,,1420172582
LC11,1158191562,3,LC11,1528244653
LC11,1158191562,1,AVL05ok_pct,5812992043
LC11,1158191562,1,PDL09h_pct,1503733177
LC11,1158191562,1,LC11,1594121850
LC11,1158191562,1,AVL11t_pct,1541242980
