LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC9,1232607449,1,ADL14i_a_pct,1720333334
LC9,1232607449,1,PVL06z_pct,1188599723
LC9,1232607449,1,PDM13y_pct,1134482718
LC9,1232607449,1,aIPg1,1138212774
LC9,1232607449,1,,1570318167
LC9,1232607449,1,LC9,1563393904
LC9,1232607449,3,,1415450373
LC9,1232607449,1,LC9,5813062009
LC9,1232607449,1,PVL07oi_pct,5813057579
LC9,1232607449,1,LC9,1232266231
LC9,1232607449,1,OA-VUMa1,1479618250
LC9,1232607449,2,aIPg3,5813098975
LC9,1232607449,4,PVM09j_pct,1133455474
LC9,1232607449,1,LC9,1263327135
LC9,1232607449,1,PVM01k_pct,1350985189
LC9,1232607449,1,LC9,5813016577
LC9,1232607449,3,AVL10olb_pct,1352684733
LC9,1232607449,1,,1446485162
LC9,1232607449,1,ADL21k_b_pct,1105713483
LC9,1232607449,1,AVL03old_pct,1230933109
LC9,1232607449,1,,1632366389
LC9,1232607449,1,LC9,1221289185
LC9,1232607449,1,LC9,1201231816
LC9,1232607449,3,LC9,5812988514
LC9,1232607449,1,LC9,5812988573
LC9,1232607449,3,LC9,1294366310
LC9,1232607449,2,PVLP001,1070950293
LC9,1232607449,1,,1414763603
LC9,1232607449,2,PVM01b_pct,1469394876
LC9,1232607449,3,LC9,5813060834
LC9,1232607449,2,LC9,1263331517
LC9,1232607449,1,AVM11u_pct,1540962734
LC9,1232607449,1,LC9,1294021030
LC9,1232607449,3,LC9,5813038293
LC9,1232607449,1,LC9,5813038294
LC9,1232607449,1,AVM08g_pct,1477166538
LC9,1232607449,6,LC9,1232288020
LC9,1232607449,1,PVL04og_pct,5813079288
LC9,1232607449,1,AVL05y_pct,1384065958
LC9,1232607449,6,PVL05om_pct,1354394414
LC9,1232607449,2,,1882040130
LC9,1232607449,5,LC9,1263668551
LC9,1232607449,4,LC9,1263668331
LC9,1232607449,1,LC9,5812988099
LC9,1232607449,6,AVL03of_pct,5813027235
LC9,1232607449,2,LC9,1232607542
LC9,1232607449,2,,1385093648
LC9,1232607449,6,LC9,1232603386
LC9,1232607449,3,LC9,5812988128
LC9,1232607449,3,LC9,1293006629
LC9,1232607449,1,LC9,5812989163
LC9,1232607449,1,LC9,1262990404
LC9,1232607449,1,LC9,1532699404
LC9,1232607449,2,ADL26c_pct,1136752885
LC9,1232607449,2,PVL15k_pct,1228264951
LC9,1232607449,7,ADL14i_a_pct,1073694558
LC9,1232607449,4,LC9,1263663953
LC9,1232607449,1,aIPg3,768590452
LC9,1232607449,1,ADL14i_b_pct,889531496
LC9,1232607449,2,AVL05x_pct,1044011735
LC9,1232607449,6,LC9,5813038198
LC9,1232607449,1,LC9,5813056453
LC9,1232607449,2,LC9,1533036404
LC9,1232607449,7,LC9,5813038196
LC9,1232607449,4,LC9,1294362042
LC9,1232607449,7,AVL06b_pct,1100357249
LC9,1232607449,4,LC9,5812989593
LC9,1232607449,2,LC9,1294362035
LC9,1232607449,1,,1934975261
LC9,1232607449,3,LC9,5813044882
LC9,1232607449,5,LC9,5813067943
LC9,1232607449,19,AVL03oc_pct,1383383062
LC9,1232607449,2,LC9,5813077663
LC9,1232607449,2,LC9,5813038197
LC9,1232607449,8,ADL14i_a_pct,889194759
LC9,1232607449,2,LC9,1262654129
LC9,1232607449,1,LC9,1232603375
LC9,1232607449,1,AVL02oh_pct,2349505897
LC9,1232607449,3,AVL13d_pct,5813061126
LC9,1232607449,3,PVM02u_pct,1318986524
LC9,1232607449,1,LC9,1595106149
LC9,1232607449,2,LC9,5813038202
