LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC12,1657525390,1,LC12,1785417481
LC12,1657525390,1,LC12,1785408076
LC12,1657525390,1,LC12,1783025171
LC12,1657525390,1,LC12,1753691232
LC12,1657525390,1,PDL09x_pct,1375504403
LC12,1657525390,1,LC18,1220607239
LC12,1657525390,1,LC12,1531975908
LC12,1657525390,2,LC12,1753354671
LC12,1657525390,1,LC12,1688892924
LC12,1657525390,1,LC12,1620667669
LC12,1657525390,1,AVL05t_pct,1690694192
LC12,1657525390,1,LC12,1747508899
LC12,1657525390,1,LC12,1784402781
LC12,1657525390,1,AVL03or_pct,1014344148
LC12,1657525390,1,,5812993355
LC12,1657525390,1,LC12,5901203642
LC12,1657525390,1,,1753410659
LC12,1657525390,1,,1879208226
LC12,1657525390,1,,1848506334
LC12,1657525390,1,,1753358801
LC12,1657525390,1,LC12,5812990959
LC12,1657525390,2,PVL07w_pct,1374063129
LC12,1657525390,1,LC12,1814751048
LC12,1657525390,1,LC12,1753695866
LC12,1657525390,2,LC12,1816788474
LC12,1657525390,1,LC12,1593743279
LC12,1657525390,1,PDL09oa_pct,1375845363
LC12,1657525390,1,,1815765121
LC12,1657525390,1,LC12,1815087643
LC12,1657525390,2,,1815765750
LC12,1657525390,1,LC12,5812993314
LC12,1657525390,2,AVL01lo_pct,5813039148
LC12,1657525390,1,LC12,1785753951
LC12,1657525390,3,PVL07s_pct,1480525262
LC12,1657525390,2,LC12,1470237582
LC12,1657525390,3,LC12,1753695941
LC12,1657525390,1,LC12,1907518969
LC12,1657525390,7,AVL16v_pct,1691630995
LC12,1657525390,2,LC12,1785408640
LC12,1657525390,12,PDL09j_a_pct,1189606166
LC12,1657525390,1,LC12,1784398302
LC12,1657525390,1,LC12,1654405904
LC12,1657525390,2,LC12,1785412639
LC12,1657525390,1,LC12,1753359149
LC12,1657525390,1,LC12,1753359328
LC12,1657525390,1,LC12,1876803839
LC12,1657525390,2,LC12,1784052291
LC12,1657525390,4,LC12,1688893211
LC12,1657525390,1,LC12,1753696105
LC12,1657525390,3,PVL05om_pct,1354394414
LC12,1657525390,3,LC12,1753695387
LC12,1657525390,2,LC12,1754032933
LC12,1657525390,1,LC12,1626140980
LC12,1657525390,1,LC12,1754037055
LC12,1657525390,1,LC12,1784393992
LC12,1657525390,3,AVL05ow_pct,1690706380
LC12,1657525390,1,LC12,1754374486
LC12,1657525390,7,PDL09j_b_pct,5812990958
LC12,1657525390,1,LC12,1753690966
LC12,1657525390,5,AVL16i_pct,1692299350
LC12,1657525390,7,AVL05oli_pct,1660690370
LC12,1657525390,3,PDL09h_pct,1503733177
LC12,1657525390,4,AVL19g_pct,1574980522
LC12,1657525390,1,AVL19f_pct,1600239500
LC12,1657525390,1,LC12,1753695198
LC12,1657525390,1,LC12,1813373584
LC12,1657525390,3,AVL19n_pct,1661273656
LC12,1657525390,2,LC12,1750630587
LC12,1657525390,2,LC12,1654405306
LC12,1657525390,5,AVL19n_pct,1723010562
LC12,1657525390,1,LC12,5812983999
LC12,1657525390,2,LC12,1753359129
LC12,1657525390,1,LC12,1783348805
LC12,1657525390,1,LC12,5813038320
LC12,1657525390,2,LC12,1441589107
LC12,1657525390,1,LC12,1784052503
LC12,1657525390,4,LC12,1815713979
LC12,1657525390,6,AVL05ow_pct,1721395841
LC12,1657525390,1,LC12,1784726510
LC12,1657525390,1,LC12,1784389603
LC12,1657525390,10,AVL05ov_pct,1691972267
LC12,1657525390,4,PDL09j_a_pct,1375504361
LC12,1657525390,2,,1720105182
LC12,1657525390,1,LC12,5901211214
LC12,1657525390,7,AVL19f_pct,1601603665
LC12,1657525390,2,LC12,1718863441
LC12,1657525390,1,LC18,1158536635
LC12,1657525390,8,PDL09j_b_pct,1344469589
LC12,1657525390,5,AVL03os_pct,1539193374
LC12,1657525390,15,PDL09j_a_pct,5812985952
LC12,1657525390,33,AVL03e_pct,1504437450
LC12,1657525390,5,AVL19n_pct,1573612290
LC12,1657525390,1,AVL19e_pct,1692304756
LC12,1657525390,1,LC12,1623072504
LC12,1657525390,1,LC12,1753695182
LC12,1657525390,11,,1753414458
LC12,1657525390,3,AVL05t_pct,1690698128
LC12,1657525390,2,LC12,1784398319
LC12,1657525390,10,AVL16h_pct,1603260613
LC12,1657525390,5,,1879226079
LC12,1657525390,19,PDL09j_a_pct,1189606310
LC12,1657525390,3,,1815433066
LC12,1657525390,3,PDL11oa_pct,447228814
LC12,1657525390,2,LC12,1621004685
LC12,1657525390,25,AVL05ov_pct,1663652072
LC12,1159551037,1,LC12,5813039336
LC12,1159551037,1,LC12,1753691086
LC12,1159551037,1,LC12,1435126790
LC12,1159551037,1,LC12,1784389055
LC12,1159551037,1,,1420172582
LC12,1159551037,1,LC12,1753359267
LC12,1159551037,1,LC12,5812997387
LC12,1159551037,1,LC12,1784738845
LC12,1159551037,1,LC12,1753695329
LC12,1159551037,1,LC12,5901203642
