LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC26,1161705902,1,,1254805789
LC26,1161705902,1,PDL09n_pct,1477434062
LC26,1161705902,1,PDM07y_b_pct,326884223
LC26,1161705902,1,LC25,1443026992
LC26,1161705902,1,,2215502386
LC26,1161705902,1,LC24,2187515326
LC26,1161705902,1,ADL12a_b_pct,950928506
LC26,1161705902,1,PVL09j_pct,759960572
LC26,1161705902,1,LC24,5813039561
LC26,1161705902,2,ADL02t_pct,543692985
LC26,1161705902,2,PDM07of_pct,5812982052
LC26,1161705902,1,PVL04ok_pct,638148241
LC26,1161705902,1,LC25,1905429029
LC26,1161705902,1,,1317212194
LC26,1161705902,1,PDM07y_pct,296203392
LC26,1161705902,1,,1100317738
LC26,1161705902,1,PVL03t_pct,884122973
LC26,1161705902,1,LC24,2247202730
LC26,1161705902,1,PVL01f_pct,1377841477
LC26,1161705902,1,PDL12k_pct,5812981058
LC26,1161705902,1,AVL07u_pct,823395525
LC26,1161705902,1,PDM07y_b_pct,388267095
LC26,1161705902,4,PDL09n_pct,1099981052
LC26,1161705902,3,PDL09n_pct,977222655
LC26,1161705902,1,PDM07of_pct,5813108129
LC26,1161705902,1,,1069282849
LC26,1161705902,1,ADL14m_c_pct,581599674
LC26,1161705902,5,PDL16f_pct,667184255
LC26,1161705902,1,ADL01oa_pct,885132185
LC26,1161705902,1,PDL28a_pct,1008253493
LC26,1161705902,5,PDL09oc_pct,1007550646
LC26,1161705902,1,PDM12v_pct,946495259
LC26,1161705902,3,ADL01oa_pct,732600113
LC26,1161705902,3,PDM07of_pct,607251100
LC26,1161705902,1,PDM07oc_pct,5812981009
LC26,1161705902,1,LC24,1192739907
LC26,1161705902,1,AVL08a_pct,884450920
LC26,1161705902,2,LC24,1254801742
LC26,1161705902,2,,1316867019
LC26,1161705902,1,PVL09i_pct,796431821
LC26,1161705902,1,,2001633699
LC26,1161705902,1,,1254801662
LC26,1161705902,3,LC24,1131011511
LC26,1161705902,1,AVL18h_pct,947530600
LC26,1161705902,2,LC24,1349603861
LC26,1161705902,1,PDL12i_pct,389195896
LC26,1161705902,14,ADL09e_pct,760306167
LC26,1161705902,2,,5812983080
LC26,1161705902,6,PDL28a_pct,5813041581
LC26,1161705902,2,AVL20d_pct,1073703524
LC26,1161705902,3,PVL03t_pct,5813107946
LC26,1161705902,1,,426494132
LC26,1161705902,3,ADL16s_pct,456847100
LC26,2211737961,1,LC26,1842682322
LC26,2211737961,1,LC24,1256831016
LC26,2211737961,1,LC24,1408535544
LC26,2211737961,1,AVL04olb,1005857944
LC26,2211737961,1,PDM08oa_pct,821003563
LC26,2211737961,1,,2244823763
LC26,2211737961,1,AVL08d_pct,5813038167
LC26,2211737961,1,LC26,1285167873
LC26,2211737961,1,LC26,2278224718
LC26,2211737961,1,LC25,1776886049
LC26,2211737961,1,LC24,2372697700
LC26,2211737961,1,PDM28q_pct,823063281
LC26,2211737961,1,PDM07y_pct,296203392
LC26,2211737961,2,ADL14e_pct,765021328
LC26,2211737961,1,PDL09od_pct,1037553548
LC26,2211737961,1,,5901215952
LC26,2211737961,3,PDM12v_pct,946495259
LC26,2211737961,2,LC26,1347902152
LC26,2211737961,1,AVL08d_pct,1259895761
LC26,2211737961,2,LC26,1411655369
LC26,2211737961,1,PDL09oe_pct,884446447
LC26,2211737961,1,ADL14m_d_pct,612634432
LC26,2211737961,1,AVL07t_pct,421650994
LC26,2211737961,1,LC26,1316194019
LC26,2211737961,1,PVL09j_pct,759960572
LC26,2211737961,2,LC26,1316534973
LC26,2211737961,1,LC26,1349253404
LC26,2211737961,1,LC25,1624083046
LC26,2211737961,1,LC24,1165085220
LC26,2211737961,1,PVL03c_d_pct,789934899
LC26,2211737961,1,LC24,1287860853
LC26,2211737961,1,LC24,2280953178
LC26,2211737961,1,AVL08a_pct,884450920
LC26,2211737961,1,LC24,1225455907
LC26,2211737961,1,AVL01q_pct,853726809
LC26,2211737961,1,,821345327
LC26,2211737961,2,PVL09of_pct,976187276
LC26,2211737961,1,PVL02c_pct,1006146837
LC26,2211737961,2,LC24,1562352871
LC26,2211737961,2,ADL05m_pct,700884019
LC26,2211737961,2,LC26,1475391747
LC26,2211737961,1,LC24,1938174967
LC26,2211737961,1,,1254805789
LC26,2211737961,2,PVL09i_pct,796431821
LC26,2211737961,1,,426494132
LC26,2211737961,1,LC26,1376134899
LC26,2211737961,1,LC16,1319919698
LC26,2211737961,3,LC26,1379277446
LC26,2211737961,1,LC25,1382002299
LC26,2211737961,3,LC26,1348584223
LC26,2211737961,3,PDL09oe_pct,854093627
LC26,2211737961,1,,1411966000
LC26,2211737961,1,,1255138230
LC26,2211737961,3,PDL09oc_pct,1007550646
LC26,2211737961,4,ADL02t_pct,543692985
LC26,2211737961,3,PDL17n_pct,665169278
LC26,2211737961,3,ADL03b_pct,914130079
LC26,2211737961,4,LC26,1316867205
LC26,2211737961,1,LC16,1350937208
LC26,2211737961,1,AVL11j_pct,1289213295
LC26,2211737961,1,PVL01h_pct,852724544
LC26,2211737961,4,PDM26a_pct,1038926500
LC26,2211737961,2,LC26,1380957320
LC26,2211737961,3,LC26,1316535138
LC26,2211737961,1,ADL12a_b_pct,950928506
LC26,2211737961,1,PDL09r_pct,1289242975
LC26,2211737961,2,ADL18n_pct,328543082
LC26,2211737961,3,LC26,1468230494
LC26,2211737961,1,ADL20a_pct,449250041
LC26,2211737961,2,LC26,1411988034
LC26,2211737961,5,ADL05x_pct,483712161
LC26,2211737961,1,AVL07u_pct,823395525
LC26,2211737961,1,PDL09oe_pct,5812981242
LC26,2211737961,2,LC26,1348920548
LC26,2211737961,4,LC26,1348580534
LC26,2211737961,2,LC26,1348920795
LC26,2211737961,3,LC26,1347906163
LC26,2211737961,2,LC26,1347905926
LC26,2211737961,2,ADL14m_c_pct,581599674
LC26,2211737961,1,LC16,1319932206
LC26,2211737961,1,LC26,1350277508
LC26,2211737961,2,PVL03t_pct,5813107946
LC26,2211737961,6,LC26,1559979355
LC26,2211737961,6,LC26,1347906562
LC26,2211737961,2,LC26,1904420313
LC26,2211737961,3,LC26,1348248235
LC26,2211737961,2,LC26,1347901684
LC26,2211737961,2,PVL03t_pct,1375145932
LC26,2211737961,5,PDL09y_b_pct,5813041360
LC26,2211737961,2,LC26,1412320780
LC26,2211737961,32,ADL09e_pct,760306167
LC26,2211737961,1,LC16,1319251041
LC26,2211737961,4,PDL09y_b_pct,1192744779
LC26,2211737961,1,LC26,1350273443
LC26,2211737961,4,LC26,1347901726
LC26,1285167873,1,ADL01ot_pct,1321564092
LC26,1285167873,1,AVL11g_pct,1041931156
LC26,1285167873,1,LC26,1347906562
LC26,1285167873,1,LC26,2211737961
LC26,1285167873,1,LC26,1380957320
LC26,1285167873,1,PVL09oe_pct,604773096
LC26,1285167873,1,LC26,1347906163
LC26,1285167873,1,LC26,1347901684
LC26,1285167873,2,LC26,1842682322
LC26,1285167873,1,ADL02t_pct,543692985
LC26,1285167873,1,PVL04ok_pct,638148241
LC26,1285167873,2,PDL09y_b_pct,1192744779
LC26,1285167873,1,PVL10t_b_pct,1319583458
LC26,1285167873,1,PVL09oe_pct,5813098195
LC26,1285167873,1,PDM07y_c_pct,296203325
LC26,1285167873,2,PDL17n_pct,665169278
LC26,1285167873,2,AVL03ov_pct,1259230618
LC26,1285167873,2,AVL04olb,1005857944
LC26,1285167873,1,LC26,1316194019
LC26,1285167873,2,LC24,2031960555
LC26,1285167873,1,PDL09n_pct,1099981052
LC26,1285167873,3,ADL14k_pct,575400910
LC26,1285167873,2,PDL09y_a_pct,1189605993
LC26,1285167873,1,AVL08d_pct,1259895761
LC26,1285167873,1,PDL09d_pct,945161760
LC26,1285167873,4,LC26,1347902152
LC26,1285167873,1,LC26,2121340624
LC26,1285167873,1,LC26,1348242642
LC26,1285167873,1,PDL10n_pct,295816140
LC26,1285167873,1,LC15,1508459533
LC26,1285167873,1,LC26,1350277508
LC26,1285167873,1,ADL02x_pct,915481348
LC26,1285167873,1,,1222778569
LC26,1285167873,2,PDL09oe_pct,5812981242
LC26,1285167873,3,PDL21m_pct,733796382
LC26,1285167873,2,PVL09j_pct,826740838
LC26,1285167873,1,PDL09y_a_pct,1352664363
LC26,1285167873,1,LC26,1316534973
LC26,1285167873,2,LC26,5813045024
LC26,1285167873,2,LC25,1777227052
LC26,1285167873,1,PDL09oh_pct,1007882308
LC26,1285167873,3,ADL14k_pct,797796343
LC26,1285167873,1,LC26,1376134899
LC26,1285167873,1,LC26,1411655369
LC26,1285167873,4,PDL09q_pct,5813013498
LC26,1285167873,2,LC26,1350273443
LC26,1285167873,2,LC24,5813045027
LC26,1285167873,5,PDL21m_pct,702079135
LC26,1285167873,1,ADL14k_pct,605762571
LC26,1285167873,1,ADL12a_b_pct,950928506
LC26,1285167873,6,PVL03t_pct,884122973
LC26,1285167873,3,ADL07d_pct,544383511
LC26,1285167873,11,PVL03t_pct,5813107946
LC26,1285167873,2,LC26,1379277446
LC26,1285167873,1,LC16,1319583082
LC26,1285167873,1,PVL10y_a_pct,1472675999
LC26,1285167873,3,PVL09j_pct,759960572
LC26,1285167873,2,AVL06oc_pct,575073147
LC26,1285167873,4,ADL14m_c_pct,581599674
LC26,1285167873,1,LC26,1316535138
LC26,1285167873,4,,733649312
LC26,1285167873,4,ADL14m_c_pct,5813070572
LC26,1285167873,3,LC26,1348916717
LC26,1285167873,3,LC26,1348920795
LC26,1285167873,2,ADL14m_c_pct,581599704
LC26,1285167873,7,PDM09og_pct,702760942
LC26,1285167873,1,ADL14k_pct,485037749
LC26,1285167873,3,PDL09y_b_pct,5813041360
LC26,1285167873,28,ADL09e_pct,760306167
LC26,1285167873,1,LC26,1348584223
LC26,1285167873,2,LC26,1348248235
LC26,1316530839,1,LC26,1316867205
LC26,1316530839,1,LC26,1411988034
LC26,1316530839,1,AVL11j_pct,1289213295
LC26,1316530839,1,AVL05s_a_pct,1412670439
LC26,1316530839,1,AVL11r_a_pct,1450875637
LC26,1316530839,1,PVL09h_pct,5813054169
LC26,1316530839,1,LC26,1412320780
LC26,1316530839,1,PVL03t_pct,1375145932
LC26,1316530839,1,LC26,1350277508
LC26,1316530839,1,LC26,1348242642
LC26,1316530839,1,ADL14k_pct,605762571
LC26,1316530839,1,PDL09r_pct,5813038177
LC26,1316530839,1,LC26,1316535138
LC26,1316530839,1,AVL11n_a_pct,1419136956
LC26,1316530839,2,ADL14k_pct,575400910
LC26,1316530839,1,LC26,1411655369
LC26,1316530839,1,PDL09d_pct,5812983383
LC26,1316530839,1,ADL01ot_pct,1321564092
LC26,1316530839,1,PDL09r_pct,1289242975
LC26,1316530839,2,PDL09y_a_pct,1352664363
LC26,1316530839,2,ADL02t_pct,543692985
LC26,1316530839,1,AVL07u_pct,823395525
LC26,1316530839,1,LC26,1348920548
LC26,1316530839,1,ADL14m_c_pct,581599704
LC26,1316530839,1,PVL03a_pct,1222769755
LC26,1316530839,2,PDL13e_pct,577123102
LC26,1316530839,2,,5812983080
LC26,1316530839,3,,5813061112
LC26,1316530839,1,LC26,1347901684
LC26,1316530839,1,PDL21m_pct,733796382
LC26,1316530839,1,PDL12v_a_pct,977218524
LC26,1316530839,1,PDL09oe_pct,5812981242
LC26,1316530839,1,PDM26a_pct,1038926500
LC26,1316530839,2,LC26,1285167873
LC26,1316530839,1,LC26,1348920795
LC26,1316530839,1,PVL10y_a_pct,1472675999
LC26,1316530839,4,PDL09y_a_pct,1189605993
LC26,1316530839,1,LC26,1349253404
LC26,1316530839,4,LC26,1559979355
LC26,1316530839,2,,2244823763
LC26,1316530839,1,LC26,1348248235
LC26,1316530839,1,LC26,1350273443
LC26,1316530839,1,LC24,1287856629
LC26,1316530839,1,PDL09v_pct,1251684081
LC26,1316530839,1,PDL17n_pct,665169278
LC26,1316530839,2,PDM07y_pct,296203434
LC26,1316530839,1,LC26,1842682322
LC26,1316530839,3,PDL09oc_pct,1007550646
