LC.bodyId,LC.type,output.bodyId,output.type,X,Y,Z
1189230326,LPLC1,1505114656,PVL03of_pct,12318,18548,24341
1189230326,LPLC1,5813069523,PVM01ot_pct,12318,18548,24341
1189230326,LPLC1,976575766,ADM03e_pct,12318,18548,24341
1189230326,LPLC1,1627890175,LPLC1,14181,18856,24363
1189230326,LPLC1,915520244,PVM09n_pct,14181,18856,24363
1189230326,LPLC1,5813023322,PVL15z_pct,14195,18811,24300
1189230326,LPLC1,5813039148,AVL01lo_pct,14195,18811,24300
1189230326,LPLC1,915520244,PVM09n_pct,14195,18811,24300
1189230326,LPLC1,915520244,PVM09n_pct,14178,18793,24349
1189230326,LPLC1,5813023322,PVL15z_pct,14178,18793,24349
1189230326,LPLC1,5813039148,AVL01lo_pct,14178,18793,24349
1189230326,LPLC1,5813039148,AVL01lo_pct,14311,18769,24043
1189230326,LPLC1,915520244,PVM09n_pct,14311,18769,24043
1189230326,LPLC1,915179102,AVM14oi_pct,15491,17824,24420
1189230326,LPLC1,1719953914,PVM08e_pct,15414,17800,24604
1189230326,LPLC1,1350924364,PVL03oe_pct,15414,17800,24604
1189230326,LPLC1,5813123804,AVM09e_pct,15414,17800,24604
1189230326,LPLC1,5813039148,AVL01lo_pct,15414,17800,24604
1189230326,LPLC1,915179102,AVM14oi_pct,15414,17800,24604
1189230326,LPLC1,1344392982,LPLC1,11354,19122,25508
1189230326,LPLC1,1660219098,LPLC1,11354,19122,25508
1189230326,LPLC1,915105429,AVL16d_pct,11354,19122,25508
1189230326,LPLC1,5813039148,AVL01lo_pct,11354,19122,25508
1189230326,LPLC1,1782714902,LPLC1,11914,18222,26122
1189230326,LPLC1,5813033596,PVL05d_pct,11914,18222,26122
1189230326,LPLC1,1723386459,LPLC1,11914,18222,26122
1189230326,LPLC1,915105429,AVL16d_pct,11914,18222,26122
1189230326,LPLC1,5812995757,LPLC1,15184,17752,24689
1189230326,LPLC1,5813123804,AVM09e_pct,15184,17752,24689
1189230326,LPLC1,1350924364,PVL03oe_pct,15184,17752,24689
1189230326,LPLC1,1130714433,PDL09m_pct,15184,17752,24689
1189230326,LPLC1,1565846637,,14170,18279,25303
1189230326,LPLC1,1407873674,LPLC1,14170,18279,25303
1189230326,LPLC1,5813063093,PVL10n_pct,14170,18279,25303
1189230326,LPLC1,5813123804,AVM09e_pct,14170,18279,25303
1189230326,LPLC1,5813039148,AVL01lo_pct,14064,18196,25245
1189230326,LPLC1,5813063093,PVL10n_pct,14064,18196,25245
1189230326,LPLC1,5813123804,AVM09e_pct,14064,18196,25245
1189230326,LPLC1,1721365654,LPLC1,14796,18113,24842
1189230326,LPLC1,5813039148,AVL01lo_pct,14796,18113,24842
1189230326,LPLC1,5813123804,AVM09e_pct,14796,18113,24842
1189230326,LPLC1,5813063093,PVL10n_pct,14796,18113,24842
1189230326,LPLC1,5813069523,PVM01ot_pct,11552,18693,24779
1189230326,LPLC1,5813039148,AVL01lo_pct,11552,18693,24779
1189230326,LPLC1,1469269528,LPLC1,11552,18693,24779
1189230326,LPLC1,5813069523,PVM01ot_pct,10853,18865,25691
1189230326,LPLC1,1751364895,,10853,18865,25691
1189230326,LPLC1,5812995757,LPLC1,15312,17868,24611
1189230326,LPLC1,5813069523,PVM01ot_pct,15312,17868,24611
1189230326,LPLC1,5813069523,PVM01ot_pct,12323,18748,24566
1189230326,LPLC1,1660219098,LPLC1,12323,18748,24566
1189230326,LPLC1,1628274418,PVM01z_pct,12323,18748,24566
1189230326,LPLC1,5813039148,AVL01lo_pct,11314,19334,25320
1189230326,LPLC1,5813069523,PVM01ot_pct,11314,19334,25320
1189230326,LPLC1,5812994826,LPLC1,11314,19334,25320
1189230326,LPLC1,1689994034,LPLC1,11314,19334,25320
1189230326,LPLC1,5813069523,PVM01ot_pct,15438,17832,24595
1189230326,LPLC1,1719953914,PVM08e_pct,15438,17832,24595
1189230326,LPLC1,1813054194,LPLC1,11365,19302,25209
1189230326,LPLC1,5813069523,PVM01ot_pct,11365,19302,25209
1189230326,LPLC1,5813069523,PVM01ot_pct,12227,18555,24462
1189230326,LPLC1,5813055080,LPLC1,12227,18555,24462
1189230326,LPLC1,5813039148,AVL01lo_pct,12227,18555,24462
1189230326,LPLC1,1660219098,LPLC1,12227,18555,24462
1189230326,LPLC1,1658643766,LPLC1,14688,18285,24965
1189230326,LPLC1,5813069523,PVM01ot_pct,14688,18285,24965
1189230326,LPLC1,1660219098,LPLC1,12370,18619,24278
1189230326,LPLC1,5813039148,AVL01lo_pct,12370,18619,24278
1189230326,LPLC1,5813069523,PVM01ot_pct,12370,18619,24278
1189230326,LPLC1,1404446113,LPLC1,12370,18619,24278
1189230326,LPLC1,1374809555,PVL03of_pct,10971,18697,25733
1189230326,LPLC1,1751364895,,10971,18697,25733
1189230326,LPLC1,1689989271,LPLC1,10971,18697,25733
1189230326,LPLC1,1689994034,LPLC1,10971,18697,25733
1189230326,LPLC1,5813069523,PVM01ot_pct,10971,18697,25733
1189230326,LPLC1,1565846637,,10971,18697,25733
1189230326,LPLC1,5813069523,PVM01ot_pct,12352,18758,24675
1189230326,LPLC1,1781328716,LPLC1,12352,18758,24675
1189230326,LPLC1,1505114656,PVL03of_pct,12352,18758,24675
1189230326,LPLC1,1504065586,PVL03of_pct,11361,19355,25219
1189230326,LPLC1,5813069523,PVM01ot_pct,11361,19355,25219
1189230326,LPLC1,1449486007,PVL07s_pct,11361,19355,25219
1189230326,LPLC1,1781328716,LPLC1,15202,17891,24652
1189230326,LPLC1,5813069523,PVM01ot_pct,15202,17891,24652
1189230326,LPLC1,5813039148,AVL01lo_pct,15202,17891,24652
1189230326,LPLC1,5812995757,LPLC1,15724,17961,24152
1189230326,LPLC1,5813069046,LPLC1,15724,17961,24152
1189230326,LPLC1,5813069046,LPLC1,15418,17864,24423
1189230326,LPLC1,1565846637,,15418,17864,24423
1189230326,LPLC1,1511235746,PVL05z_pct,15741,17996,24097
1189230326,LPLC1,5813069046,LPLC1,15741,17996,24097
1189230326,LPLC1,5813069046,LPLC1,15348,17893,24553
1189230326,LPLC1,1597265225,PVM01z_pct,15348,17893,24553
1189230326,LPLC1,1534119934,,15348,17893,24553
1189230326,LPLC1,5813039148,AVL01lo_pct,13941,18597,24407
1189230326,LPLC1,5813063093,PVL10n_pct,13941,18597,24407
1189230326,LPLC1,5813057178,PVL15q_pct,13941,18597,24407
1189230326,LPLC1,1690020010,LPLC1,13941,18597,24407
1189230326,LPLC1,1630281172,PVL05ot_pct,12636,18271,25794
1189230326,LPLC1,5813063093,PVL10n_pct,12636,18271,25794
1189230326,LPLC1,1474745046,PVL03of_pct,12636,18271,25794
1189230326,LPLC1,5813059915,,13710,18432,24569
1189230326,LPLC1,1220257051,LPLC1,13710,18432,24569
1189230326,LPLC1,5813057178,PVL15q_pct,10262,18631,25549
1189230326,LPLC1,5813057178,PVL15q_pct,12040,18604,24586
1189230326,LPLC1,5813055080,LPLC1,12040,18604,24586
1189230326,LPLC1,1565846637,,12040,18604,24586
1189230326,LPLC1,1374809555,PVL03of_pct,9675,18796,24994
1189230326,LPLC1,5813057178,PVL15q_pct,9675,18796,24994
1189230326,LPLC1,1443044897,PVL03of_pct,10778,18605,25351
1189230326,LPLC1,1565846637,,10778,18605,25351
1189230326,LPLC1,5813057178,PVL15q_pct,10778,18605,25351
1189230326,LPLC1,1385093648,,10778,18605,25351
1189230326,LPLC1,5813031567,LPLC1,10778,18605,25351
1189230326,LPLC1,1566514624,PVL05a_c_pct,10778,18605,25351
1189230326,LPLC1,1845117373,LPLC1,10778,18605,25351
1189230326,LPLC1,1689994034,LPLC1,12089,18306,26078
1189230326,LPLC1,5813034018,PVM01ot_pct,12089,18306,26078
1189230326,LPLC1,1689994425,LPLC1,12089,18306,26078
1189230326,LPLC1,5813057178,PVL15q_pct,12089,18306,26078
1189230326,LPLC1,1504065586,PVL03of_pct,12089,18306,26078
1189230326,LPLC1,1690020010,LPLC1,13909,18578,24449
1189230326,LPLC1,5813039148,AVL01lo_pct,13909,18578,24449
1189230326,LPLC1,5813057178,PVL15q_pct,13909,18578,24449
1189230326,LPLC1,5813057178,PVL15q_pct,11133,18320,24947
1189230326,LPLC1,1443040649,PVL03of_pct,11133,18320,24947
1189230326,LPLC1,5813057178,PVL15q_pct,11329,19433,25151
1189230326,LPLC1,1599902570,PVL05a_a_pct,11329,19433,25151
1189230326,LPLC1,5813057178,PVL15q_pct,14364,18727,23969
1189230326,LPLC1,1745570620,PVL05og_pct,14364,18727,23969
1189230326,LPLC1,5813057178,PVL15q_pct,11149,18295,25023
1189230326,LPLC1,1474745046,PVL03of_pct,11149,18295,25023
1189230326,LPLC1,1157202283,PVL03oe_pct,11149,18295,25023
1189230326,LPLC1,1658990108,LPLC1,9941,18751,25196
1189230326,LPLC1,5813057178,PVL15q_pct,9941,18751,25196
1189230326,LPLC1,1504065586,PVL03of_pct,9941,18751,25196
1189230326,LPLC1,1443040649,PVL03of_pct,14549,18678,23983
1189230326,LPLC1,5813039148,AVL01lo_pct,14549,18678,23983
1189230326,LPLC1,5813057178,PVL15q_pct,14549,18678,23983
1189230326,LPLC1,1511235746,PVL05z_pct,14549,18678,23983
1189230326,LPLC1,1628230708,LPLC1,14549,18678,23983
1189230326,LPLC1,5813057178,PVL15q_pct,12410,18590,24330
1189230326,LPLC1,1534119934,,11083,18355,25121
1189230326,LPLC1,1566514624,PVL05a_c_pct,11083,18355,25121
1189230326,LPLC1,1539879204,PVL05lb_pct,11083,18355,25121
1189230326,LPLC1,1474745046,PVL03of_pct,11083,18355,25121
1189230326,LPLC1,1443044897,PVL03of_pct,11083,18355,25121
1189230326,LPLC1,5813057178,PVL15q_pct,11083,18355,25121
1189230326,LPLC1,5813039148,AVL01lo_pct,12801,18206,25751
1189230326,LPLC1,5813055080,LPLC1,12801,18206,25751
1189230326,LPLC1,1505114656,PVL03of_pct,12801,18206,25751
1189230326,LPLC1,5813054604,,14388,18665,24035
1189230326,LPLC1,1374809555,PVL03of_pct,14388,18665,24035
1189230326,LPLC1,1163120884,PVL05od_pct,14388,18665,24035
1189230326,LPLC1,5813045792,LPLC1,14388,18665,24035
1189230326,LPLC1,1599902570,PVL05a_a_pct,13751,18266,24734
1189230326,LPLC1,1565846637,,13751,18266,24734
1189230326,LPLC1,5813047489,PVL07j_pct,13751,18266,24734
1189230326,LPLC1,5812989989,,13751,18266,24734
1189230326,LPLC1,5813039148,AVL01lo_pct,14735,18655,23939
1189230326,LPLC1,1566514624,PVL05a_c_pct,14735,18655,23939
1189230326,LPLC1,5813023322,PVL15z_pct,14735,18655,23939
1189230326,LPLC1,5813045806,PVM01ot_pct,14735,18655,23939
1189230326,LPLC1,1628230708,LPLC1,14735,18655,23939
1189230326,LPLC1,5813045792,LPLC1,10813,18922,25607
1189230326,LPLC1,5813039148,AVL01lo_pct,13003,18122,25763
1189230326,LPLC1,5813042873,LPLC1,13003,18122,25763
1189230326,LPLC1,1504065586,PVL03of_pct,13003,18122,25763
1189230326,LPLC1,5813037812,PVL15t_pct,12940,18134,25860
1189230326,LPLC1,5813042873,LPLC1,12940,18134,25860
1189230326,LPLC1,1627950600,PVM01ot_pct,13516,18274,25247
1189230326,LPLC1,5813039148,AVL01lo_pct,13516,18274,25247
1189230326,LPLC1,1443044897,PVL03of_pct,11008,18886,25784
1189230326,LPLC1,5813039148,AVL01lo_pct,11008,18886,25784
1189230326,LPLC1,5813034018,PVM01ot_pct,14052,18346,25349
1189230326,LPLC1,1690011142,LPLC1,14052,18346,25349
1189230326,LPLC1,5813039148,AVL01lo_pct,14052,18346,25349
1189230326,LPLC1,1630281172,PVL05ot_pct,14052,18346,25349
1189230326,LPLC1,1407873674,LPLC1,14052,18346,25349
1189230326,LPLC1,1689989557,LPLC1,14052,18346,25349
1189230326,LPLC1,1690020010,LPLC1,14992,18012,24777
1189230326,LPLC1,5813039148,AVL01lo_pct,14992,18012,24777
1189230326,LPLC1,1689994034,LPLC1,11065,18579,25938
