LC.bodyId,LC.type,output.bodyId,output.type,X,Y,Z
1158536635,LC18,1718918218,LC18,7125,22200,25597
1158536635,LC18,947923543,PDM11w_pct,7125,22200,25597
1158536635,LC18,1449502965,PVL17b_pct,7125,22200,25597
1158536635,LC18,947923543,PDM11w_pct,8510,21136,25149
1158536635,LC18,1136502893,PVL04r_pct,8510,21136,25149
1158536635,LC18,947923543,PDM11w_pct,6916,20207,24618
1158536635,LC18,1435791739,PVL07w_pct,6916,20207,24618
1158536635,LC18,5812994205,AVL10f_pct,6916,20207,24618
1158536635,LC18,1374063129,PVL07w_pct,6916,20207,24618
1158536635,LC18,947923543,PDM11w_pct,7666,19757,25608
1158536635,LC18,1482579456,AVL19e_pct,7666,19757,25608
1158536635,LC18,1750980224,LC18,7666,19757,25608
1158536635,LC18,1449502965,PVL17b_pct,7666,19757,25608
1158536635,LC18,1630678904,AVL05ox_pct,6541,21296,25432
1158536635,LC18,947923543,PDM11w_pct,6541,21296,25432
1158536635,LC18,1633337773,AVL10d_pct,8813,20462,25731
1158536635,LC18,947923543,PDM11w_pct,8813,20462,25731
1158536635,LC18,947923543,PDM11w_pct,6212,22036,25779
1158536635,LC18,1659590563,PVL17b_pct,6212,22036,25779
1158536635,LC18,5813056622,AVL11y_a_pct,6212,22036,25779
1158536635,LC18,947923543,PDM11w_pct,7360,19127,25010
1158536635,LC18,1717208400,LC18,7360,19127,25010
1158536635,LC18,1448452947,AVL19q_pct,7154,20540,25096
1158536635,LC18,947923543,PDM11w_pct,7154,20540,25096
1158536635,LC18,947923543,PDM11w_pct,6966,20211,24535
1158536635,LC18,1374063129,PVL07w_pct,6966,20211,24535
1158536635,LC18,1722005199,LC18,8287,21375,25295
1158536635,LC18,947923543,PDM11w_pct,8287,21375,25295
1158536635,LC18,947923543,PDM11w_pct,6250,22009,25742
1158536635,LC18,5813046075,AVL10f_pct,6801,20169,24562
1158536635,LC18,1721659644,LC18,6801,20169,24562
1158536635,LC18,947923543,PDM11w_pct,6801,20169,24562
1158536635,LC18,1480524421,AVL19q_pct,7138,21921,25295
1158536635,LC18,947923543,PDM11w_pct,7138,21921,25295
1158536635,LC18,947923543,PDM11w_pct,7598,22315,26356
1158536635,LC18,1346896720,PDL09i_pct,7598,22315,26356
1158536635,LC18,947923543,PDM11w_pct,7831,19626,25025
1158536635,LC18,1570565128,AVL05og_pct,7831,19626,25025
1158536635,LC18,5901215834,,6950,21076,25222
1158536635,LC18,947923543,PDM11w_pct,6950,21076,25222
1158536635,LC18,1357097532,AVL08s_pct,8873,22712,25522
1158536635,LC18,943809606,PVL03y_pct,8873,22712,25522
1158536635,LC18,1508170799,AVL05oi_pct,8873,22712,25522
1158536635,LC18,1503733177,PDL09h_pct,8929,22519,25516
1158536635,LC18,943809606,PVL03y_pct,8929,22519,25516
1158536635,LC18,5901205169,AVL05r_pct,7263,21439,24741
1158536635,LC18,5813046075,AVL10f_pct,6161,22199,25837
1158536635,LC18,5813046075,AVL10f_pct,6249,22103,25815
1158536635,LC18,5813017914,AVL08f_pct,8549,21163,25313
1158536635,LC18,1718918218,LC18,8549,21163,25313
1158536635,LC18,1374063129,PVL07w_pct,8549,21163,25313
1158536635,LC18,5812994205,AVL10f_pct,7242,21651,25019
1158536635,LC18,1542585886,AVL19p_pct,7242,21651,25019
1158536635,LC18,1345860891,PVL03y_pct,8906,21065,25301
1158536635,LC18,5812994205,AVL10f_pct,8906,21065,25301
1158536635,LC18,5812991204,AVL05ox_pct,9061,20734,25598
1158536635,LC18,5812994205,AVL10f_pct,9061,20734,25598
1158536635,LC18,1691310419,AVL05og_pct,9061,20734,25598
1158536635,LC18,1752703194,,9061,20734,25598
1158536635,LC18,1480524421,AVL19q_pct,9061,20734,25598
1158536635,LC18,5812990958,PDL09j_b_pct,9049,20980,26127
1158536635,LC18,1503733177,PDL09h_pct,9049,20980,26127
1158536635,LC18,1600239500,AVL19f_pct,9049,20980,26127
1158536635,LC18,1692299350,AVL16i_pct,9049,20980,26127
1158536635,LC18,5812985952,PDL09j_a_pct,7738,19394,25003
1158536635,LC18,2119272595,LC18,7264,22340,25986
1158536635,LC18,2119272595,LC18,7222,22364,25909
1158536635,LC18,1632309827,AVL10d_pct,7222,22364,25909
1158536635,LC18,1661623550,,7238,21648,25091
1158536635,LC18,1966860704,,7238,21648,25091
1158536635,LC18,1167537600,AVL13ob_pct,7238,21648,25091
1158536635,LC18,1601603665,AVL19f_pct,6162,21605,25505
1158536635,LC18,1966860704,,6162,21605,25505
1158536635,LC18,1633337773,AVL10d_pct,7805,22267,26746
1158536635,LC18,1633337773,AVL10d_pct,7677,22301,26602
1158536635,LC18,1449835055,AVL25a_pct,7600,22423,26539
1158536635,LC18,1357097532,AVL08s_pct,7600,22423,26539
1158536635,LC18,1692304756,AVL19e_pct,7600,22423,26539
1158536635,LC18,1633337773,AVL10d_pct,7603,22315,26542
1158536635,LC18,1570565128,AVL05og_pct,7571,22392,26475
1158536635,LC18,1167537600,AVL13ob_pct,7530,22358,26297
1158536635,LC18,1570245517,PVL03y_pct,7530,22358,26297
1158536635,LC18,1632309827,AVL10d_pct,7441,22308,26142
1158536635,LC18,1043143311,ADL02oa_pct,7441,22308,26142
1158536635,LC18,1507139129,AVL05r_pct,7441,22308,26142
1158536635,LC18,1603260613,AVL16h_pct,7441,22308,26142
1158536635,LC18,1481547572,AVL19e_pct,7384,22365,26121
1158536635,LC18,1482579456,AVL19e_pct,7384,22365,26121
1158536635,LC18,1722670598,AVL10q_pct,7384,22365,26121
1158536635,LC18,1507139129,AVL05r_pct,7346,22308,26116
1158536635,LC18,1633337773,AVL10d_pct,7346,22308,26116
1158536635,LC18,1786793680,,7346,22308,26116
1158536635,LC18,1722670598,AVL10q_pct,7346,22308,26116
1158536635,LC18,1630678904,AVL05ox_pct,7106,22252,25903
1158536635,LC18,1718918218,LC18,6192,22226,25820
1158536635,LC18,1691310419,AVL05og_pct,9087,20961,26042
1158536635,LC18,1570565128,AVL05og_pct,9087,20961,26042
1158536635,LC18,1659590563,PVL17b_pct,8981,20994,26039
1158536635,LC18,1043143311,ADL02oa_pct,8981,20994,26039
1158536635,LC18,1342022174,LC18,9038,20932,25853
1158536635,LC18,1570565128,AVL05og_pct,9038,20932,25853
1158536635,LC18,1722336935,LC18,8858,20636,25825
1158536635,LC18,1540241926,PVL05oz_pct,8860,20452,25834
1158536635,LC18,1374063129,PVL07w_pct,8860,20452,25834
1158536635,LC18,1068885266,PVLP001,8860,20452,25834
1158536635,LC18,1449502965,PVL17b_pct,8814,22771,25563
1158536635,LC18,1722005213,,8814,22771,25563
1158536635,LC18,1722005213,,8569,22840,25492
1158536635,LC18,1691635022,AVL05ox_pct,7133,22246,25659
1158536635,LC18,1571246774,AVL19f_pct,7133,22246,25659
1158536635,LC18,1539879164,AVL10c_pct,7186,22168,25584
1158536635,LC18,1601603665,AVL19f_pct,6111,21684,25518
1158536635,LC18,1651701899,LC18,6100,21714,25497
1158536635,LC18,1718918218,LC18,8465,21243,25340
1158536635,LC18,1691635022,AVL05ox_pct,6647,21298,25482
1158536635,LC18,1722336465,LC18,6647,21298,25482
1158536635,LC18,1482579456,AVL19e_pct,6647,21298,25482
1158536635,LC18,1480524421,AVL19q_pct,6643,21263,25426
1158536635,LC18,1691635022,AVL05ox_pct,6643,21263,25426
1158536635,LC18,1510851409,AVL19e_pct,6643,21263,25426
1158536635,LC18,1482579456,AVL19e_pct,6677,21249,25377
1158536635,LC18,1600239500,AVL19f_pct,6677,21249,25377
1158536635,LC18,1480524421,AVL19q_pct,9033,20772,25572
1158536635,LC18,1630678904,AVL05ox_pct,9033,20772,25572
1158536635,LC18,1507139129,AVL05r_pct,9037,20883,25570
1158536635,LC18,1199556510,PVL04r_pct,9037,20883,25570
1158536635,LC18,1691298247,AVL10f_pct,9037,20883,25570
1158536635,LC18,1013982515,ADL26b_pct,9119,20844,25474
1158536635,LC18,1540241926,PVL05oz_pct,8792,20412,25757
1158536635,LC18,1691034393,,7698,19869,25742
1158536635,LC18,1691298247,AVL10f_pct,7658,19885,25632
1158536635,LC18,1722005213,,7658,19885,25632
1158536635,LC18,1692304756,AVL19e_pct,7660,19777,25499
1158536635,LC18,1188548330,LC18,7660,19777,25499
1158536635,LC18,1508170799,AVL05oi_pct,7745,19658,25515
1158536635,LC18,1571246774,AVL19f_pct,7723,19658,25516
1158536635,LC18,1476777923,AVL02s_pct,8320,21468,25264
1158536635,LC18,1477148598,AVL13u_pct,8320,21468,25264
1158536635,LC18,1375504361,PDL09j_a_pct,7273,21722,25186
1158536635,LC18,1723023890,LC18,7273,21722,25186
1158536635,LC18,1661623550,,7221,21720,25147
1158536635,LC18,1292635448,AVL02w_pct,7221,21720,25147
1158536635,LC18,1597204590,AVL05ox_pct,8773,21249,25156
1158536635,LC18,1449502965,PVL17b_pct,8773,21249,25156
1158536635,LC18,1754041168,LC18,8347,21338,25297
1158536635,LC18,1630678904,AVL05ox_pct,8577,21094,25261
1158536635,LC18,1632309827,AVL10d_pct,8577,21094,25261
1158536635,LC18,1448452947,AVL19q_pct,8512,20977,25203
1158536635,LC18,1560289552,LC18,8564,21169,25209
1158536635,LC18,1632309827,AVL10d_pct,8564,21169,25209
1158536635,LC18,1449502965,PVL17b_pct,8731,21250,25128
1158536635,LC18,1345860891,PVL03y_pct,8731,21250,25128
1158536635,LC18,1692304756,AVL19e_pct,8709,21255,25161
1158536635,LC18,1659590563,PVL17b_pct,7041,21033,25161
1158536635,LC18,1718918218,LC18,7041,21033,25161
1158536635,LC18,1722346362,LC18,6832,21153,25259
1158536635,LC18,1448452947,AVL19q_pct,8478,20927,25172
1158536635,LC18,1570245517,PVL03y_pct,7173,20171,25060
1158536635,LC18,1573612290,AVL19n_pct,7173,20171,25060
1158536635,LC18,1594087386,,7283,20181,25023
1158536635,LC18,1510851409,AVL19e_pct,7283,20181,25023
1158536635,LC18,1601603665,AVL19f_pct,7288,20129,24992
1158536635,LC18,1594087386,,7288,20129,24992
1158536635,LC18,1416766624,AVL02f_a_pct,8230,20079,25250
1158536635,LC18,1435791739,PVL07w_pct,8216,19962,25168
1158536635,LC18,1630678904,AVL05ox_pct,8216,19962,25168
1158536635,LC18,1691635022,AVL05ox_pct,8281,20074,25154
1158536635,LC18,1722346327,LC18,8190,19941,25140
1158536635,LC18,1718231248,LC18,7899,19635,24963
1158536635,LC18,1594092024,LC18,7883,19435,24986
1158536635,LC18,1594087386,,7305,19151,25054
1158536635,LC18,1722670422,LC18,7305,19151,25054
1158536635,LC18,1594087386,,7173,18027,24938
1158536635,LC18,1570245517,PVL03y_pct,7265,21485,24814
1158536635,LC18,1603260613,AVL16h_pct,7042,21112,24533
1158536635,LC18,1722346846,LC18,7042,21112,24533
1158536635,LC18,1597204590,AVL05ox_pct,7042,21112,24533
1158536635,LC18,1374063129,PVL07w_pct,7042,21112,24533
1158536635,LC18,1480524421,AVL19q_pct,7020,21045,24501
1158536635,LC18,1449835055,AVL25a_pct,7020,21045,24501
1158536635,LC18,1374063129,PVL07w_pct,7020,21045,24501
1158536635,LC18,1480524421,AVL19q_pct,7085,20958,24492
1158536635,LC18,1691638475,AVL19e_pct,7053,20527,24566
1158536635,LC18,1375504361,PDL09j_a_pct,7053,20527,24566
1158536635,LC18,1603260613,AVL16h_pct,6806,20216,24649
1158536635,LC18,1722346846,LC18,6806,20216,24649
1158536635,LC18,1722346846,LC18,6780,20256,24594
1158536635,LC18,1222104921,AVL01i_pct,6855,20314,24588
1158536635,LC18,1073069488,PVM01oz_pct,6950,20373,24529
1158536635,LC18,1570565128,AVL05og_pct,6924,20282,24519
1158536635,LC18,1222104921,AVL01i_pct,6840,20210,24522
1158536635,LC18,1722333142,LC18,6840,20210,24522
1158536635,LC18,1691638475,AVL19e_pct,7823,19550,24944
1158536635,LC18,1570565128,AVL05og_pct,7823,19550,24944
1158536635,LC18,1718231248,LC18,7896,19553,24930
1188548330,LC18,5812989689,LC18,9122,20841,24984
1188548330,LC18,947923543,PDM11w_pct,9122,20841,24984
1188548330,LC18,947923543,PDM11w_pct,9020,20907,24914
1188548330,LC18,1632309827,AVL10d_pct,9020,20907,24914
1188548330,LC18,947923543,PDM11w_pct,7143,21465,25750
1188548330,LC18,1601603665,AVL19f_pct,6404,20667,25049
1188548330,LC18,1448794542,,6404,20667,25049
1188548330,LC18,947923543,PDM11w_pct,6404,20667,25049
1188548330,LC18,5813057579,PVL07oi_pct,7634,19277,25454
1188548330,LC18,947923543,PDM11w_pct,7634,19277,25454
1188548330,LC18,1571246774,AVL19f_pct,7634,19277,25454
1188548330,LC18,1625463216,,8492,19660,25339
1188548330,LC18,1752703194,,8492,19660,25339
1188548330,LC18,947923543,PDM11w_pct,8492,19660,25339
1188548330,LC18,1746884233,LC18,7050,21627,25779
1188548330,LC18,947923543,PDM11w_pct,7050,21627,25779
1188548330,LC18,943809606,PVL03y_pct,7677,20667,25691
1188548330,LC18,1722346846,LC18,7677,20667,25691
1188548330,LC18,1691635022,AVL05ox_pct,7677,20667,25691
1188548330,LC18,1043143311,ADL02oa_pct,7242,21424,25762
1188548330,LC18,1508170799,AVL05oi_pct,7242,21424,25762
1188548330,LC18,5813046075,AVL10f_pct,7242,21424,25762
1188548330,LC18,1570565128,AVL05og_pct,7242,21424,25762
