Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_0426494132,0,0,0,0,0,29,7,20,0,0,0,0,0,0,0,0,0,0,0
bodyId_0543692985,0,0,0,0,0,0,0,281,53,0,0,0,51,0,0,0,0,0,0
bodyId_0544383511,0,0,0,0,0,0,8,16,20,0,0,0,0,0,0,0,0,0,0
bodyId_0581599674,0,0,0,0,0,76,36,123,0,0,0,0,0,0,0,0,0,0,0
bodyId_0605762571,0,0,0,0,0,25,5,17,0,0,0,0,0,0,0,0,0,0,0
bodyId_0667184255,0,0,0,0,0,18,0,11,47,0,0,0,0,0,0,0,0,0,0
bodyId_0702760942,0,0,0,0,41,0,0,49,0,12,0,0,0,0,0,0,0,0,0
bodyId_0727889637,0,0,0,0,0,0,0,21,24,8,0,0,0,0,0,0,0,0,0
bodyId_0732600113,0,0,0,0,0,9,0,16,38,0,0,0,0,0,0,0,0,0,0
bodyId_0770585045,0,0,0,0,14,0,0,0,0,16,0,0,0,0,88,0,0,0,0
bodyId_0797424771,0,0,0,0,0,53,21,0,0,0,0,0,0,0,67,0,0,0,0
bodyId_0821003563,0,0,0,0,0,0,0,14,34,0,32,0,0,0,0,0,0,0,0
bodyId_0826062651,0,0,0,0,0,0,24,0,0,8,0,0,0,0,30,0,0,0,0
bodyId_0854093627,0,0,0,0,0,51,0,25,59,0,0,0,0,0,0,0,0,0,0
bodyId_0884446447,0,0,0,0,0,0,0,11,24,0,8,0,0,0,0,0,0,0,0
bodyId_0884477487,0,0,0,0,114,0,0,0,0,0,0,491,0,0,0,255,0,0,0
bodyId_0912601209,94,27,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0947573616,0,0,28,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0950928506,0,0,0,0,0,0,9,20,25,0,0,0,0,0,0,0,0,0,0
