Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_1074143191,0,0,69,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
bodyId_1074484603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,119,0,0
bodyId_1074493547,0,0,0,0,0,45,0,0,0,0,0,0,0,0,29,0,0,0,0
bodyId_1078517402,0,0,0,0,50,0,60,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1099333424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,0
bodyId_1099458986,0,0,0,0,68,0,0,0,0,0,0,58,0,0,0,0,0,0,0
bodyId_1100357249,0,0,0,249,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1100404634,0,0,0,0,532,0,0,0,0,0,0,546,0,0,0,0,0,0,0
bodyId_1103102334,0,262,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1134146373,0,15,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1134482718,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
bodyId_1135458373,0,0,0,0,0,0,33,0,0,0,0,0,0,0,41,0,0,0,0
bodyId_1136752885,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0
bodyId_1138855577,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,57,0,0
bodyId_1140249804,0,0,0,0,142,0,0,0,0,0,0,149,0,0,0,0,0,0,0
bodyId_1162180404,0,0,0,0,0,0,56,0,0,0,0,0,8,0,0,0,0,0,0
bodyId_1167537600,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,361,0,0,0
bodyId_1189264680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,228,0,0
bodyId_1189727041,0,0,0,0,234,0,0,0,0,0,0,225,0,0,0,0,0,0,0
bodyId_1190409318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,69,0,0
bodyId_1190417843,0,0,0,0,532,0,0,0,0,0,0,105,0,0,0,0,0,0,0
bodyId_1192744779,0,0,0,0,0,0,63,147,0,0,0,0,0,0,0,0,0,0,0
bodyId_1222195226,0,0,0,0,152,0,0,0,0,0,0,144,0,0,0,0,0,0,0
bodyId_1222769755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,27,0,0
bodyId_1222928995,0,0,0,0,85,0,0,0,0,0,0,20,0,0,0,0,0,0,0
bodyId_1226789202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,0,0
bodyId_1226887763,0,172,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1228877958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,88,0,0,0
bodyId_1251032454,0,0,0,0,166,0,0,0,0,0,0,56,0,0,0,0,0,0,0
bodyId_1251373426,0,0,0,0,195,0,0,0,0,0,0,37,0,0,0,0,0,0,0
bodyId_1252121060,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,55,0
bodyId_1256800488,0,0,0,57,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1259230618,0,0,0,0,0,0,59,8,0,0,0,0,0,0,0,0,0,0,0
bodyId_1259890841,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,29,0,0,0
bodyId_1281324958,0,0,627,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
bodyId_1281752255,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,120,0
bodyId_1282806606,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,157,0
bodyId_1289233728,0,58,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1289242975,0,0,0,0,0,0,57,25,0,0,0,0,0,0,0,0,0,0,0
bodyId_1289574568,0,0,0,0,0,208,32,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1289920105,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,85,0,0
bodyId_1290227332,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,308,0,0
bodyId_1290269562,0,0,0,82,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1316945065,0,0,0,0,257,0,0,0,0,0,0,33,0,0,0,0,0,0,0
bodyId_1319583458,0,0,0,0,0,149,161,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1320277749,0,0,0,0,0,0,8,0,0,0,0,0,0,0,53,0,0,0,0
bodyId_1320290839,0,0,36,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1320976955,0,0,0,88,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1321305063,0,0,0,35,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1344460840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,295,0,0
bodyId_1344810847,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,180,0,0,0
bodyId_1344858936,0,0,0,0,6,0,0,0,0,0,48,0,0,0,0,0,0,0,0
bodyId_1345471376,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,9,0
bodyId_1348653495,0,0,0,0,22,0,0,0,0,0,0,75,0,0,0,0,0,0,0
bodyId_1350985189,0,0,0,74,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1351644908,0,0,0,0,0,114,0,0,0,0,0,0,0,0,72,0,0,0,0
bodyId_1351667174,0,0,0,0,0,37,177,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1352331062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,274,0,0
bodyId_1352335144,0,133,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0
bodyId_1352335943,0,0,0,0,0,0,86,0,0,0,0,0,0,0,106,0,0,0,0
bodyId_1352684733,0,411,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1353031856,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0
bodyId_1354394414,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041
bodyId_1355750029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,14,0,0
bodyId_1356061127,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,98,0,0,0
bodyId_1357084643,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,15,0,0,0
bodyId_1357097532,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,90,0,0,0
bodyId_1374554946,0,0,0,0,83,0,0,0,0,0,0,35,0,0,0,0,0,0,0
bodyId_1374900967,0,0,0,0,42,0,0,0,0,0,0,62,0,0,0,0,0,0,0
