N_out_bodyId,N_out_name,num_LC_synapsing,num_synapses,avg_synapses
1007550646,PDL09oc_pct,30,160,5.33333333333333
1417768398,AVL05od_pct,20,47,2.35
1507446255,AVL13v_pct,19,30,1.57894736842105
1476782322,AVL05s_b_pct,18,26,1.44444444444444
1008253493,PDL28a_pct,16,27,1.6875
1138855577,ADL28b_pct,16,26,1.625
1290227332,AVM08i_pct,16,33,2.0625
1069632261,PDL28a_pct,15,31,2.06666666666667
1289574568,PVL10t_a_pct,14,26,1.85714285714286
1511593574,AVL02t_pct,14,15,1.07142857142857
1167541601,,13,21,1.61538461538462
1476824820,PVL03og_pct,13,22,1.69230769230769
1480525330,PVL03oh_pct,13,16,1.23076923076923
1507109459,AVL13v_pct,13,26,2
5813048443,ADL14q_pct,13,21,1.61538461538462
1442699865,AVL05s_b_pct,12,16,1.33333333333333
702760942,PDM09og_pct,11,12,1.09090909090909
737093754,ADL14s_pct,11,17,1.54545454545455
770585045,PVL04ov_pct,11,16,1.45454545454545
1412670439,AVL05s_a_pct,11,14,1.27272727272727
1038926500,PDM26a_pct,10,12,1.2
1288530238,AVL13e_b_pct,10,11,1.1
1319583458,PVL10t_b_pct,10,12,1.2
1446061566,PVL03og_pct,10,13,1.3
581262846,ADL14s_pct,9,24,2.66666666666667
644001906,ADL14s_pct,9,15,1.66666666666667
1287645091,AVM08k_pct,9,14,1.55555555555556
1352331062,PVL05ok_pct,9,12,1.33333333333333
854093627,PDL09oe_pct,8,11,1.375
919513165,PVL05h_pct,8,9,1.125
1161399526,PVL04ov_pct,8,14,1.75
1477161691,AVL13v_pct,8,10,1.25
1537130680,AVL02t_pct,8,11,1.375
1632016438,PVL05oy_pct,8,10,1.25
5813057854,ADL14s_pct,8,10,1.25
577123102,PDL13e_pct,7,9,1.28571428571429
727889637,ADL07d_pct,7,8,1.14285714285714
796733478,PVL05ox_pct,7,8,1.14285714285714
857793013,AVL09v_pct,7,8,1.14285714285714
858838262,ADL14m_a_pct,7,8,1.14285714285714
912290165,PVL10t_a_pct,7,7,1
1130359511,PDL09f_pct,7,7,1
1535100405,PVL03og_pct,7,10,1.42857142857143
768806088,ADL14m_c_pct,6,6,1
826062651,AVL03p_pct,6,8,1.33333333333333
884450920,AVL08a_pct,6,8,1.33333333333333
1312061760,PVL19h_pct,6,6,1
1508127542,AVL11r_a_pct,6,16,2.66666666666667
5813038177,PDL09r_pct,6,6,1
486410031,ADL18a_pct,5,5,1
574395727,PDL09e_pct,5,6,1.2
581599704,ADL14m_c_pct,5,6,1.2
610321430,PDM07oo_pct,5,5,1
642629807,PVL18d_pct,5,5,1
701201945,ADL02oe_pct,5,7,1.4
852724544,PVL01h_pct,5,11,2.2
950928506,ADL12a_b_pct,5,6,1.2
1073691439,ADL14q_pct,5,8,1.6
1446101389,AVL19d_pct,5,6,1.2
1474062225,PDL09ob_pct,5,5,1
1480222035,,5,9,1.8
5813053863,AVL02old_pct,5,6,1.2
792079254,PDL06y_pct,4,4,1
884122973,PVL03t_pct,4,4,1
951934183,AVL26b_pct,4,7,1.75
974027716,PVL10t_b_pct,4,5,1.25
976187276,PVL09of_pct,4,4,1
1006146837,PVL02c_pct,4,4,1
1038938989,PDL09n_pct,4,4,1
1073798332,AVL20e_pct,4,5,1.25
1074484603,AVL02olb_pct,4,6,1.5
1289242975,PDL09r_pct,4,5,1.25
1289920105,PDL09r_pct,4,5,1.25
1317886409,,4,6,1.5
1351312482,AVL07b_pct,4,4,1
1381656679,PVL10t_a_pct,4,4,1
1450875637,AVL11r_a_pct,4,4,1
1535432441,,4,4,1
1722310842,,4,6,1.5
5812982994,PVL04a_a_pct,4,6,1.5
5813053966,AVL13oe_pct,4,5,1.25
358514340,PDL13e_pct,3,3,1
453018720,ADL04w_pct,3,4,1.33333333333333
517086196,AVL27d_pct,3,3,1
544383511,ADL07d_pct,3,3,1
883418989,,3,3,1
884446447,PDL09oe_pct,3,3,1
946495259,PDM12v_pct,3,3,1
977218524,PDL12v_a_pct,3,3,1
977222655,PDL09n_pct,3,3,1
977223393,AVM14p_pct,3,3,1
1005857944,AVL04olb,3,3,1
1068885266,PVLP001,3,3,1
1128200628,PDL09z_pct,3,4,1.33333333333333
1131988003,ADL01j_pct,3,3,1
1135458373,PVL04s_pct,3,3,1
1137503987,AVL11f_pct,3,6,2
1189264680,PDL09m_pct,3,5,1.66666666666667
1226831477,PDL09r_pct,3,3,1
1320277749,,3,3,1
1381311623,PVL10u_pct,3,4,1.33333333333333
1382023849,AVL03p_pct,3,4,1.33333333333333
1442029850,AVL05s_a_pct,3,4,1.33333333333333
1446762036,PVL05ol_pct,3,3,1
1473379689,PVL05i_pct,3,3,1
1508123668,,3,3,1
1536447127,,3,3,1
1537807327,AVL11r_b_pct,3,3,1
1570866455,AVL11r_b_pct,3,6,2
1658040290,AVL05p_pct,3,4,1.33333333333333
5813070572,ADL14m_c_pct,3,3,1
5901214960,AVL03oj_pct,3,3,1
296199021,PDM07on_pct,2,2,1
447228814,PDL11oa_pct,2,3,1.5
449949172,PDL27d_pct,2,2,1
604773096,PVL09oe_pct,2,2,1
644757911,PDM06c_pct,2,2,1
674687388,ADL14m_a_pct,2,2,1
733649312,,2,2,1
821345327,,2,2,1
881596353,PDL12v_a_pct,2,2,1
921576508,AVL10e_pct,2,2,1
977913894,PDL12v_b_pct,2,2,1
1099981052,PDL09n_pct,2,2,1
1130714433,PDL09m_pct,2,2,1
1227135350,PDL09i_pct,2,2,1
1259230618,AVL03ov_pct,2,4,2
1288202406,PDL09q_pct,2,2,1
1289213295,AVL11j_pct,2,2,1
1375504403,PDL09x_pct,2,2,1
1382667382,AVL11g_pct,2,2,1
1412700292,AVL07b_pct,2,2,1
1444046333,AVL07b_pct,2,2,1
1472675999,PVL10y_a_pct,2,2,1
1477774797,AVL16f_pct,2,2,1
1480170126,AVL02ok_pct,2,3,1.5
1507782010,AVL05on_pct,2,2,1
1507812837,AVL11m_pct,2,3,1.5
1508132976,AVL11r_b_pct,2,2,1
1508464822,AVL05on_pct,2,2,1
1509146177,AVL02s_pct,2,2,1
