Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_1006146837,0,0,0,0,0,16,14,0,48,0,19,0,0,0,0,0,0,0,0
bodyId_1040004619,0,0,36,13,0,0,17,0,0,0,0,0,40,0,0,0,0,0,0
bodyId_1099981052,0,0,0,0,0,0,18,8,29,0,0,0,0,0,0,0,13,0,0
bodyId_1287645091,0,0,0,0,0,0,11,0,30,14,0,0,0,0,49,0,0,0,0
bodyId_1346560069,9,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,14,0,0
bodyId_1346900360,5,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,9,0,0
bodyId_1384712714,0,0,13,0,0,37,0,0,0,0,0,0,9,13,0,0,0,0,0
bodyId_1435791739,1952,0,0,0,0,0,0,0,0,0,0,0,0,490,0,564,0,0,1342
bodyId_1437902499,0,41,18,0,0,0,28,0,0,0,0,0,61,0,0,0,0,0,0
bodyId_1719643238,0,0,96,0,30,0,0,0,0,0,0,20,0,0,0,0,0,0,36
bodyId_1750721034,0,30,120,0,62,0,0,0,0,0,0,44,0,0,0,0,0,0,0
bodyId_5813023322,0,753,232,0,0,0,260,0,0,0,0,0,714,0,0,0,0,0,0
bodyId_5813061112,0,16,0,0,0,42,0,35,0,0,0,0,29,0,0,0,0,0,0
bodyId_5813064410,0,0,0,0,28,112,0,0,0,0,0,0,0,0,0,34,0,35,0
