Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_1074143191,0,0,27,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
bodyId_1074484603,0,0,0,0,0,0,0,0,0,4,0,0,3,2,30,1,58,0,0
bodyId_1074493547,0,0,0,0,0,31,3,0,1,0,0,0,0,0,20,0,6,0,0
bodyId_1078517402,0,0,0,0,18,0,30,0,0,0,0,1,0,0,0,0,0,0,0
bodyId_1099333424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,20,0
bodyId_1099458986,0,0,0,0,19,0,0,0,0,0,0,23,0,0,0,0,0,0,0
bodyId_1100357249,0,2,0,62,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1100404634,0,0,0,0,38,0,0,0,0,0,0,36,0,0,0,0,0,0,0
bodyId_1103102334,0,74,71,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0
bodyId_1134146373,0,11,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1134482718,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
bodyId_1135458373,0,0,0,1,0,2,20,0,0,3,0,0,0,0,28,0,0,0,0
bodyId_1136752885,0,0,0,50,0,0,0,0,0,0,0,0,3,0,0,70,0,0,0
bodyId_1138855577,0,0,0,0,0,0,2,5,0,16,0,0,0,0,2,0,35,0,0
bodyId_1140249804,0,0,0,0,25,0,0,0,0,0,0,18,0,0,0,0,0,0,0
bodyId_1162180404,0,0,0,2,0,0,24,0,0,0,0,0,7,0,0,0,0,0,0
bodyId_1167537600,0,2,0,0,0,0,0,0,0,0,0,0,7,60,0,71,0,0,0
bodyId_1189264680,0,0,0,0,1,0,0,1,0,3,0,0,0,0,46,0,65,0,0
bodyId_1189727041,0,0,0,0,32,0,0,0,1,0,0,27,0,0,0,0,0,0,0
bodyId_1190409318,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,13,31,0,0
bodyId_1190417843,0,0,0,0,42,0,0,0,0,0,0,20,0,0,0,0,0,1,0
bodyId_1192744779,0,0,0,0,0,6,34,36,1,1,0,0,0,0,1,0,0,0,0
bodyId_1222195226,0,0,0,0,29,0,0,0,0,0,0,25,0,0,0,0,0,1,0
bodyId_1222769755,0,0,0,0,0,2,1,4,0,0,1,0,0,0,13,0,22,0,0
bodyId_1222928995,0,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0
bodyId_1226789202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,20,0,0
bodyId_1226887763,0,61,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1228877958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45,0,0,0
bodyId_1251032454,0,0,1,0,22,0,0,0,0,0,0,18,0,0,0,0,0,0,0
bodyId_1251373426,0,0,0,0,37,0,0,0,0,0,1,18,0,0,0,0,0,0,0
bodyId_1252121060,0,0,0,0,31,0,0,0,0,0,1,1,0,0,0,0,0,29,0
bodyId_1256800488,0,0,0,30,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1259230618,0,0,0,1,0,1,30,5,0,2,0,0,0,0,3,0,0,0,0
bodyId_1259890841,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,13,0,0,0
bodyId_1281324958,0,1,44,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
bodyId_1281752255,0,0,0,1,12,0,0,0,0,0,0,3,0,0,0,0,0,48,0
bodyId_1282806606,0,0,0,0,29,0,0,0,0,0,13,1,0,0,0,0,0,64,0
bodyId_1289233728,0,34,0,0,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1289242975,0,0,0,0,0,2,34,17,1,4,0,0,0,0,4,0,0,0,0
bodyId_1289574568,0,0,0,0,0,69,20,8,1,14,0,0,0,3,0,0,0,0,0
bodyId_1289920105,0,0,0,0,0,4,48,2,0,4,0,0,0,0,2,0,49,0,0
bodyId_1290227332,0,0,0,0,0,36,1,2,2,16,0,0,0,0,4,9,69,0,0
bodyId_1290269562,0,0,0,43,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1316945065,0,0,0,0,42,0,0,0,0,0,2,18,0,0,0,0,0,0,0
bodyId_1319583458,0,0,0,0,0,66,54,17,0,10,0,0,0,0,3,0,1,0,0
bodyId_1320277749,0,0,0,0,0,0,6,0,1,3,0,0,0,0,34,0,0,0,0
bodyId_1320290839,0,1,20,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1320976955,0,0,0,47,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1321305063,0,0,0,24,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1344460840,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,0,74,0,0
