N_out_bodyId,N_out_name,num_LC_synapsing,num_synapses,avg_synapses
1189601546,PDL09x_pct,75,1517,20.2266666666667
1324370139,AVL02ov_pct,75,754,10.0533333333333
1344469477,PDL09x_pct,75,490,6.53333333333333
1344469603,PDL09x_pct,75,1123,14.9733333333333
1375504403,PDL09x_pct,75,1586,21.1466666666667
1412670439,AVL05s_a_pct,75,410,5.46666666666667
1503754813,AVL13e_c_pct,75,814,10.8533333333333
1344460840,PDL09ob_pct,74,295,3.98648648648649
1476782322,AVL05s_b_pct,74,329,4.44594594594595
1504428248,AVL13u_pct,74,454,6.13513513513514
1346896720,PDL09i_pct,73,331,4.53424657534247
5813053863,AVL02old_pct,73,334,4.57534246575342
1221457679,,72,247,3.43055555555556
1290227332,AVM08i_pct,69,308,4.46376811594203
1442699865,AVL05s_b_pct,69,241,3.49275362318841
5813057178,PVL15q_pct,68,319,4.69117647058824
1251684081,PDL09v_pct,67,294,4.38805970149254
1478142566,PVL05j_pct,67,152,2.26865671641791
1227135350,PDL09i_pct,66,217,3.28787878787879
1352331062,PVL05ok_pct,66,274,4.15151515151515
1474062225,PDL09ob_pct,66,196,2.96969696969697
1189264680,PDL09m_pct,65,228,3.50769230769231
1503733177,PDL09h_pct,64,284,4.4375
1196816048,AVL11i_pct,63,160,2.53968253968254
1344810921,PDL09w_pct,62,174,2.80645161290323
1442029850,AVL05s_a_pct,62,191,3.08064516129032
1472711015,PDL12v_b_pct,62,154,2.48387096774194
1471337584,PDL12v_b_pct,61,153,2.50819672131148
1375504427,PDL09n_pct,59,160,2.71186440677966
1074484603,AVL02olb_pct,58,119,2.05172413793103
1477148598,AVL13u_pct,56,174,3.10714285714286
1477434062,PDL09n_pct,54,114,2.11111111111111
1728104437,AVL26d_pct,54,127,2.35185185185185
1537130680,AVL02t_pct,53,98,1.84905660377358
943809606,PVL03y_pct,52,155,2.98076923076923
1539496112,AVL13h_pct,52,146,2.80769230769231
1037237333,PVL03y_pct,50,119,2.38
1471337839,PDL12v_b_pct,50,100,2
1511888459,AVL13od_pct,50,94,1.88
1535813419,AVL05s_a_pct,50,95,1.9
1289920105,PDL09r_pct,49,85,1.73469387755102
1476777923,AVL02s_pct,49,90,1.83673469387755
1199910583,AVL13e_c_pct,46,82,1.78260869565217
1380979698,AVL11j_pct,44,74,1.68181818181818
5901203491,PDL12v_b_pct,43,84,1.95348837209302
1130714433,PDL09m_pct,42,69,1.64285714285714
1167546166,,40,67,1.675
1289213295,AVL11j_pct,39,79,2.02564102564103
5813057579,PVL07oi_pct,39,60,1.53846153846154
730398229,PDM06f_pct,37,64,1.72972972972973
1439979494,PDL12v_b_pct,37,73,1.97297297297297
1138855577,ADL28b_pct,35,57,1.62857142857143
1568181600,AVL05oo_pct,35,69,1.97142857142857
1447093754,AVL11n_a_pct,33,46,1.39393939393939
1474084639,AVL13e_a_pct,33,45,1.36363636363636
5812983240,PDM06f_pct,32,45,1.40625
1190409318,PVL10w_c_pct,31,69,2.2258064516129
1534448605,PVL10w_a_pct,29,50,1.72413793103448
5813056622,AVL11y_a_pct,29,66,2.27586206896552
1536132286,,28,51,1.82142857142857
5813021583,AVL06oi_pct,28,35,1.25
1473379892,PVL05h_pct,27,54,2
1507812837,AVL11m_pct,27,37,1.37037037037037
921589471,AVL10oc_pct,26,51,1.96153846153846
1508132976,AVL11r_b_pct,26,38,1.46153846153846
1014344148,AVL03or_pct,25,37,1.48
1602247856,AVL13oc_pct,24,34,1.41666666666667
1511593574,AVL02t_pct,23,41,1.78260869565217
1222769755,PVL03a_pct,22,27,1.22727272727273
1443041217,AVL13e_a_pct,22,24,1.09090909090909
5813065148,AVL14p_pct,21,31,1.47619047619048
1005857873,,20,35,1.75
1226789202,AVL11op_pct,20,34,1.7
1375845363,PDL09oa_pct,20,25,1.25
732431788,PDM06f_pct,19,20,1.05263157894737
1474424990,AVL13h_pct,19,30,1.57894736842105
1446062404,PVL05h_pct,17,24,1.41176470588235
1070950293,PVLP001,16,20,1.25
1344811248,PDL09z_pct,16,21,1.3125
1439301519,PDL12v_c_pct,16,26,1.625
1474757586,AVL05s_c_pct,16,20,1.25
1509146177,AVL02s_pct,15,16,1.06666666666667
1597213470,AVL11or_pct,15,20,1.33333333333333
1099333424,PVL10v_b_pct,14,21,1.5
1504406220,PDL12v_b_pct,14,16,1.14285714285714
1044701474,AVL03z_c_pct,13,19,1.46153846153846
1344810847,PDL09v_pct,13,15,1.15384615384615
1387471295,AVL08t_pct,13,16,1.23076923076923
1407947423,PVL10w_a_pct,13,15,1.15384615384615
1442708190,PVL10y_c_pct,13,20,1.53846153846154
1569205173,,13,18,1.38461538461538
5813027276,ADL26e_pct,13,16,1.23076923076923
826416797,AVL08v_pct,12,16,1.33333333333333
1346560069,AVL01j_pct,12,14,1.16666666666667
1355750029,,12,14,1.16666666666667
1448794542,,12,12,1
1344469589,PDL09j_b_pct,11,13,1.18181818181818
1536447127,,11,15,1.36363636363636
2227740774,AVL02y_pct,11,14,1.27272727272727
5813053966,AVL13oe_pct,11,12,1.09090909090909
950880008,ADL26h_pct,10,10,1
1038938989,PDL09n_pct,10,14,1.4
1099981052,PDL09n_pct,10,13,1.3
1189606310,PDL09j_a_pct,10,10,1
1535471736,AVL11or_pct,10,20,2
1535791554,,10,14,1.4
1158903092,PDL09z_pct,9,10,1.11111111111111
1414405144,PVL10y_c_pct,9,14,1.55555555555556
1471337627,PDL12v_c_pct,9,12,1.33333333333333
1500063929,PVM13f_pct,9,11,1.22222222222222
5813077633,PVL03oi_pct,9,11,1.22222222222222
796393522,PDM06r_a_pct,8,10,1.25
1068885266,PVLP001,8,8,1
1128200628,PDL09z_pct,8,10,1.25
1189606166,PDL09j_a_pct,8,9,1.125
1383379730,AVL11y_a_pct,8,9,1.125
1414712300,AVL11oq_pct,8,8,1
1473052588,PDL12v_b_pct,8,11,1.375
1541208571,AVL26a_pct,8,12,1.5
1570210823,AVL21c_pct,8,10,1.25
1635354529,AVL13oc_pct,8,8,1
1346900360,AVL01j_pct,7,9,1.28571428571429
1385032953,AVM08i_pct,7,9,1.28571428571429
1511892508,PDL09k_pct,7,9,1.28571428571429
5812991175,PDL09k_pct,7,7,1
5813064410,AVL04ola,7,7,1
5813123049,,7,8,1.14285714285714
888491795,AVL08v_pct,6,8,1.33333333333333
947923543,PDM11w_pct,6,8,1.33333333333333
1037609552,PDM16f_c_pct,6,10,1.66666666666667
1074493547,AVL13w_pct,6,8,1.33333333333333
1161399526,PVL04ov_pct,6,6,1
1167541601,,6,9,1.5
1352335943,PVL10y_b_pct,6,7,1.16666666666667
1508464822,AVL05on_pct,6,6,1
1662947570,AVL18z_pct,6,6,1
5813038177,PDL09r_pct,6,6,1
1220299806,PDL09k_pct,5,5,1
1288530238,AVL13e_b_pct,5,5,1
1375504412,PDL09k_pct,5,5,1
1385015126,AVL18x_pct,5,6,1.2
1419136956,AVL11n_a_pct,5,5,1
1443040649,PVL03of_pct,5,5,1
1443044897,PVL03of_pct,5,5,1
1476778177,PVM13g_pct,5,6,1.2
1504419182,PVL05i_pct,5,6,1.2
1568190925,,5,5,1
5812985952,PDL09j_a_pct,5,5,1
5813023353,LT1,5,5,1
854093627,PDL09oe_pct,4,4,1
1007550646,PDL09oc_pct,4,4,1
1013982515,ADL26b_pct,4,4,1
1167542031,AVL13e_b_pct,4,4,1
1222104921,AVL01i_pct,4,5,1.25
1321564092,ADL01ot_pct,4,4,1
1355720294,PVL05h_pct,4,8,2
1375504361,PDL09j_a_pct,4,4,1
1472672056,PVL10w_b_pct,4,6,1.5
1508123668,,4,4,1
1534798033,AVL05s_c_pct,4,5,1.25
1600214220,PDL09k_pct,4,5,1.25
1937879935,PVL09s_x_pct,4,5,1.25
5812990958,PDL09j_b_pct,4,5,1.25
5813048443,ADL14q_pct,4,4,1
5813063087,AVL03oi_pct,4,5,1.25
485037749,ADL14k_pct,3,4,1.33333333333333
550927367,,3,3,1
914475586,PVL10v_a_pct,3,3,1
1002360103,PDL09p_pct,3,3,1
1005857944,AVL04olb,3,3,1
1285155206,PVL09h_pct,3,3,1
1290209390,LT11,3,3,1
1313849969,AVL01ol_pct,3,4,1.33333333333333
1321305370,AVL10ola_pct,3,3,1
1345860891,PVL03y_pct,3,4,1.33333333333333
1347979604,PDL09u_pct,3,3,1
1352335144,AVL10od_pct,3,4,1.33333333333333
1355042626,AVL02f_a_pct,3,3,1
1406583670,PVL09s_b_pct,3,3,1
1417768398,AVL05od_pct,3,5,1.66666666666667
1437902499,PVL03of_pct,3,3,1
1437958811,PDL12oc_pct,3,3,1
1501384741,PDL09u_pct,3,3,1
1510855070,AVL18q_pct,3,4,1.33333333333333
1597877916,,3,3,1
1604440343,AVM08n_pct,3,3,1
418607079,,2,2,1
517086196,AVL27d_pct,2,2,1
770585045,PVL04ov_pct,2,2,1
790668865,PVL09h_pct,2,3,1.5
797424771,AVL03z_c_pct,2,2,1
828455033,AVL20c_pct,2,2,1
946533908,PDM16s_pct,2,2,1
952266169,AVL02y_pct,2,2,1
977222655,PDL09n_pct,2,3,1.5
1072063538,PDL18ob,2,2,1
1192796721,PDL09u_pct,2,2,1
1322626125,PVL09oa_pct,2,2,1
1356091208,AVL13_pct,2,4,2
1375504297,PDL09n_pct,2,3,1.5
1406911688,PDL09g_pct,2,2,1
1407939124,PVM09c_pct,2,3,1.5
1409627117,PVL10w_b_pct,2,2,1
1414073219,AVL05r_pct,2,2,1
1416072512,PVL03oh_pct,2,2,1
1437276654,PVL09s_b_pct,2,2,1
1445743278,AVL07d_pct,2,2,1
1447451704,PVL03oh_pct,2,2,1
1449826776,PDL09k_pct,2,2,1
1450875637,AVL11r_a_pct,2,3,1.5
1474087416,AVL18r_pct,2,2,1
1474745046,PVL03of_pct,2,2,1
1481202316,PDL09k_pct,2,2,1
1504065586,PVL03of_pct,2,2,1
1530412168,PVM13g_pct,2,3,1.5
1534119934,,2,2,1
1539508448,,2,2,1
1566519535,AVL05ol_pct,2,2,1
1599199567,AVL21c_pct,2,2,1
1719643238,PDL09t_pct,2,2,1
5812988169,,2,2,1
5813033371,PVL07s_pct,2,3,1.5
5813068801,AVL01i_pct,2,2,1
5813107946,PVL03t_pct,2,2,1
328939480,PVL04p_a_pct,1,1,1
359560762,PVL04d_pct,1,1,1
604773096,PVL09oe_pct,1,1,1
640194409,PVL05k_pct,1,1,1
671574812,AVL06p_pct,1,1,1
858838262,ADL14m_a_pct,1,1,1
886134689,PDL20t_pct,1,1,1
912290165,PVL10t_a_pct,1,1,1
917527702,ADL12n_pct,1,1,1
919513165,PVL05h_pct,1,1,1
921235264,AVL03w_b_pct,1,1,1
977913894,PDL12v_b_pct,1,1,1
1014016336,AVL03z_c_pct,1,1,1
1073691439,ADL14q_pct,1,1,1
1105157124,AVL08oi_pct,1,1,1
1136407269,ADL26d_pct,1,1,1
1169178299,AVL24a_pct,1,1,1
