Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_0296199021,0,0,0,0,0,1,0,3,39,2,0,0,0,0,0,0,0,0,0
bodyId_0328543082,0,0,0,0,0,1,0,1,22,0,0,0,0,0,0,0,0,0,0
bodyId_0421646999,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0
bodyId_0421650994,0,0,0,0,0,1,0,1,25,0,0,0,0,0,0,0,0,0,0
bodyId_0426148655,0,0,0,0,0,81,0,1,0,1,0,0,0,0,0,2,0,0,0
bodyId_0426489841,0,0,0,0,0,2,48,0,0,1,0,0,0,0,0,0,0,0,0
bodyId_0447228814,185,2,0,0,0,0,0,0,0,2,0,0,10,8,8,1,0,0,73
bodyId_0447872055,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
bodyId_0449250041,0,0,0,0,0,0,0,1,33,0,2,0,0,0,0,0,0,0,0
bodyId_0457520471,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,2,0,0,0
bodyId_0483712161,0,0,0,0,0,1,1,1,40,0,0,0,0,0,0,0,0,0,0
bodyId_0550573520,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0550577624,0,0,0,0,0,59,0,1,1,0,0,0,0,0,0,0,0,0,0
bodyId_0550927367,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,3,0,0
bodyId_0581262846,0,0,0,0,0,82,15,0,0,9,0,0,0,0,1,0,0,0,0
bodyId_0581599794,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0581603800,0,0,0,0,0,80,11,0,10,0,0,0,0,0,0,0,0,0,0
bodyId_0604709727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
bodyId_0607251100,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
bodyId_0610321430,0,0,0,0,0,1,0,0,28,5,0,0,0,0,0,0,0,0,0
bodyId_0612634432,0,0,0,0,0,80,17,7,24,1,0,0,0,0,0,1,0,0,0
bodyId_0644001906,0,0,0,0,0,82,19,2,4,9,0,0,0,0,0,0,0,0,0
bodyId_0644757911,0,0,0,0,0,1,0,1,21,2,0,0,0,0,0,0,0,0,0
bodyId_0670547235,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
bodyId_0672598344,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
bodyId_0674687388,0,0,0,0,0,2,61,0,0,2,0,0,0,0,0,0,0,0,0
bodyId_0675490204,0,0,0,0,23,0,0,0,0,0,1,1,0,0,0,0,0,0,0
bodyId_0705722736,0,0,0,0,0,0,52,1,1,0,0,0,0,0,0,0,0,0,0
bodyId_0706183770,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,0
bodyId_0708545526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
bodyId_0730398229,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,37,0,0
bodyId_0734352404,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0734677385,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0736748242,0,0,0,0,0,82,1,3,2,0,0,0,0,0,0,0,0,0,0
bodyId_0737093692,0,0,0,0,0,82,4,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0737093754,0,0,0,0,0,82,3,2,0,11,0,0,0,0,0,3,0,0,0
bodyId_0739256609,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0756502912,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62,0
bodyId_0766410805,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0767787456,0,0,0,0,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0
bodyId_0796733478,0,0,0,0,4,0,45,0,0,7,0,0,0,0,0,0,0,0,0
bodyId_0797442049,0,0,0,4,0,68,0,3,0,1,0,0,0,0,0,1,0,0,0
bodyId_0798132291,0,0,0,0,0,82,2,1,0,0,0,0,0,0,0,7,0,0,0
bodyId_0821703262,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,57,0
bodyId_0822461999,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0823063281,0,0,0,0,0,0,0,21,3,0,3,0,0,0,0,0,0,0,0
bodyId_0827086517,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0828826099,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0829154825,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0853100744,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,1,0,67,0
bodyId_0857793013,0,0,0,0,0,56,5,3,8,7,0,0,0,0,3,0,0,0,0
bodyId_0858838262,0,0,0,1,0,6,61,1,0,7,0,0,0,0,2,0,1,0,0
bodyId_0858838467,0,0,0,96,0,28,11,0,1,0,0,0,0,0,0,0,0,0,0
bodyId_0883514695,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,51,0
bodyId_0884122973,0,0,0,0,0,1,0,33,3,4,0,0,0,0,4,0,0,0,0
bodyId_0884856749,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0
bodyId_0885132185,0,0,0,0,0,0,0,4,31,1,2,0,0,0,0,0,0,0,0
bodyId_0889194759,0,0,0,114,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0889535602,0,0,0,9,0,3,61,0,0,1,0,0,0,0,0,0,0,0,0
bodyId_0889852017,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0921576508,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0
bodyId_0921589471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
bodyId_0943048975,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0945161760,0,0,0,0,0,1,0,1,34,0,0,0,0,0,0,0,0,0,0
bodyId_0945532230,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
bodyId_0945647730,0,0,0,0,33,0,0,0,0,0,0,4,0,0,0,0,0,0,0
bodyId_0946495259,0,0,0,0,0,1,0,5,29,3,0,0,0,0,0,0,0,0,0
bodyId_0947212143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
bodyId_0947923543,0,0,0,0,0,0,0,0,0,0,0,0,10,103,1,44,6,0,2
bodyId_0949904655,0,0,0,125,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0950880008,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,71,10,0,0
bodyId_0976190756,0,0,0,0,39,0,0,0,0,0,2,5,0,0,0,0,0,10,0
bodyId_0976575766,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0
bodyId_0977223393,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,71,0
bodyId_0977628790,0,0,0,0,41,0,0,0,0,0,0,7,0,0,0,0,0,0,0
bodyId_0977913894,0,0,0,0,0,0,0,1,1,2,0,0,0,0,48,0,1,1,0
bodyId_1002360103,0,0,0,0,4,1,11,1,2,0,0,0,0,0,0,2,3,80,0
bodyId_1006876508,0,0,0,0,33,0,0,0,0,0,6,0,0,0,0,0,0,7,0
bodyId_1006984280,0,0,0,0,43,0,0,0,0,0,0,10,13,0,0,0,0,1,0
bodyId_1008663678,0,0,0,0,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bodyId_1009311804,0,0,1,0,19,0,0,0,0,0,0,3,2,0,0,0,0,0,0
bodyId_1009980185,0,0,0,0,0,1,55,0,1,0,1,0,0,0,3,0,0,0,0
bodyId_1011728599,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1014016336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,0,0
bodyId_1038636222,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
bodyId_1040013335,0,57,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1043696281,0,0,0,0,0,1,32,0,1,0,0,0,0,0,0,0,0,0,0
bodyId_1044028675,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1073069488,0,6,0,0,0,0,2,0,0,0,0,0,2,75,0,0,0,0,0
bodyId_1073354203,0,0,0,126,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1073694558,0,0,0,116,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1100088382,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1100404581,0,0,24,0,43,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bodyId_1102407288,0,0,0,0,0,1,50,1,0,1,0,0,0,0,1,1,0,0,0
bodyId_1104056135,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,1,0,0,0
bodyId_1128200628,0,1,0,0,0,0,0,0,0,3,0,0,3,19,3,71,8,0,12
bodyId_1133455474,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1134107162,0,2,0,4,0,32,1,0,1,0,0,0,0,0,0,0,0,0,0
bodyId_1134819586,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1135112830,0,1,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1136407269,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,42,1,0,0
bodyId_1136502893,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0,0,0,0,1
bodyId_1158903092,0,0,0,0,0,0,0,0,0,1,0,0,1,16,4,71,9,0,0
bodyId_1162081064,0,0,0,1,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1163120884,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
bodyId_1165810875,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1166186949,0,2,71,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
bodyId_1166458109,0,0,0,0,0,40,0,2,0,0,0,0,0,0,0,0,0,0,0
bodyId_1167541601,0,0,0,0,0,0,1,0,0,13,0,0,0,0,56,0,6,0,0
bodyId_1169178299,0,12,60,0,0,0,0,0,0,0,0,0,16,0,0,16,1,0,0
bodyId_1189601546,2,0,0,0,0,0,1,0,0,0,0,0,3,6,7,37,75,0,2
bodyId_1189605993,0,0,0,0,0,3,0,34,1,1,0,0,0,0,4,0,0,0,0
bodyId_1189606166,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,8,0,227
bodyId_1189606310,3,0,0,0,0,0,0,0,0,0,0,0,1,14,0,21,10,0,227
bodyId_1190400775,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0
bodyId_1193210995,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1196816048,0,0,0,0,0,4,7,0,2,0,0,0,0,0,4,0,63,0,0
bodyId_1199556510,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0
bodyId_1199910583,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,6,46,0,0
bodyId_1220416666,0,0,0,0,35,0,0,0,0,0,1,4,0,0,0,0,0,0,0
bodyId_1222104921,0,0,0,0,1,0,7,0,2,1,1,0,0,36,0,1,4,81,0
bodyId_1222519065,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bodyId_1226831477,0,0,0,0,0,3,51,10,1,3,0,0,0,0,6,0,0,0,0
bodyId_1228264951,0,7,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1228265278,0,65,1,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0
bodyId_1230933109,0,0,0,51,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1251684081,0,0,0,0,0,22,8,17,0,0,0,0,0,0,2,21,67,0,0
bodyId_1260949492,14,74,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
bodyId_1280634257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
bodyId_1281113257,0,0,0,0,38,0,2,0,0,0,0,1,0,0,0,0,0,0,0
bodyId_1282788953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
bodyId_1283151657,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0
bodyId_1283190163,0,0,0,0,45,0,0,0,0,0,0,6,0,0,0,0,0,5,0
bodyId_1288530238,0,0,0,0,0,0,1,0,1,10,0,0,0,0,52,0,5,0,0
bodyId_1289213295,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,5,39,0,0
bodyId_1289238793,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1290270553,0,0,0,2,0,2,54,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1292635448,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,7
bodyId_1293688646,0,0,0,120,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0
bodyId_1313512559,0,0,0,0,16,0,0,0,0,0,3,1,0,0,0,0,0,63,0
bodyId_1313849969,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,43,3,81,2
bodyId_1314820316,0,0,32,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
bodyId_1318986524,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1318991216,0,5,45,0,3,0,0,0,0,0,1,0,3,1,0,0,0,0,1
bodyId_1320286990,0,0,0,2,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1320622829,0,4,0,0,7,40,2,0,0,1,0,0,0,0,0,4,1,0,0
bodyId_1321305370,184,3,0,0,0,0,0,0,0,0,0,0,2,1,0,38,3,0,56
bodyId_1323015482,0,0,0,0,0,29,5,0,0,0,0,0,0,0,3,0,0,0,0
bodyId_1324370139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,75,0,0
bodyId_1343804739,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1344469477,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,75,0,19
bodyId_1344469589,12,5,0,0,0,0,0,0,0,0,0,0,3,5,0,1,11,0,227
bodyId_1344469603,0,0,0,0,0,0,0,0,0,1,0,0,1,33,10,11,75,13,15
bodyId_1344469820,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,71,1,0,0
bodyId_1344810921,0,0,0,0,0,2,3,2,0,1,0,0,0,0,0,0,62,0,0
bodyId_1344811248,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,71,16,0,0
bodyId_1345860891,0,0,0,0,0,0,0,0,0,1,1,0,1,74,1,0,3,0,0
bodyId_1348998826,0,0,0,0,34,0,0,0,0,0,0,7,0,0,0,0,0,0,0
bodyId_1350612846,0,0,0,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1350924364,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
bodyId_1351312482,0,0,0,0,0,2,37,1,0,4,0,0,0,0,3,0,1,0,0
bodyId_1352664363,0,0,0,0,0,2,1,29,1,1,0,0,0,0,0,0,0,0,0
bodyId_1353043462,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1353371352,0,12,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1354731667,0,0,0,101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bodyId_1355042626,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,3,0,2
bodyId_1355736858,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
bodyId_1356091208,0,0,0,0,0,0,2,0,0,0,0,0,0,2,47,0,2,0,0
bodyId_1357438446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
bodyId_1374809555,0,0,9,0,0,0,0,1,0,0,0,0,60,0,0,1,0,0,0
bodyId_1375242214,0,0,0,0,40,0,0,0,0,0,0,4,0,0,0,0,0,0,0
bodyId_1375245983,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bodyId_1375504361,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,0,227
bodyId_1375504403,2,0,0,0,0,13,6,0,0,2,0,0,2,0,35,9,75,8,13
bodyId_1375924140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
bodyId_1376558469,0,0,0,0,26,0,0,0,0,0,7,5,0,0,0,0,0,1,0
bodyId_1379355642,0,0,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bodyId_1380979698,0,0,0,0,0,0,1,0,2,1,0,0,2,0,2,4,44,0,0
bodyId_1381306709,0,0,0,0,0,52,8,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1383703581,0,0,0,0,0,1,44,0,1,1,0,0,0,0,0,0,0,0,0
bodyId_1383767808,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,0
bodyId_1384065958,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1384752007,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1385429936,0,85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1385433981,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1386758950,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
bodyId_1405226806,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1405615693,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1406966879,0,0,5,0,46,0,0,0,0,0,6,3,0,0,0,0,0,1,0
bodyId_1411336347,0,0,0,0,0,0,28,1,1,1,0,0,0,0,0,0,0,0,0
bodyId_1411737459,0,20,71,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
bodyId_1412670439,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,2,75,0,0
bodyId_1414354109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,0,0
bodyId_1414418492,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1414694799,0,84,2,0,0,4,3,0,0,0,0,0,2,0,0,1,1,0,0
bodyId_1414763869,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1415450373,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1416766624,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
bodyId_1416796844,0,4,29,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,0
bodyId_1420522486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0
bodyId_1436698436,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1436961485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
bodyId_1437224617,0,81,3,0,0,0,10,0,0,1,0,0,5,4,0,2,0,0,0
bodyId_1437958811,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3,46,0
bodyId_1441084157,0,0,0,0,38,0,0,0,0,0,0,8,0,0,0,0,0,0,0
bodyId_1442029850,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,62,1,0
bodyId_1442699865,0,0,0,0,0,0,0,1,0,12,0,0,10,0,8,1,69,0,0
bodyId_1443040649,0,0,11,0,0,0,16,0,0,0,0,0,60,0,0,1,5,0,0
bodyId_1443044897,0,0,19,0,0,0,2,0,0,0,0,0,60,0,0,1,5,0,0
bodyId_1444046333,0,0,0,0,0,4,31,0,0,2,0,0,0,0,0,0,0,0,0
bodyId_1446061566,0,85,2,0,0,9,1,0,0,10,0,0,0,0,0,0,1,0,0
bodyId_1446100318,0,9,71,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
bodyId_1447093754,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,33,0,0
bodyId_1447448324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,1,0,0
bodyId_1449165580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
bodyId_1449502965,0,6,0,0,0,0,0,0,0,0,0,0,0,101,0,18,0,0,0
bodyId_1449835055,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,1,0,0,0
bodyId_1469394876,0,0,0,5,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bodyId_1470358604,0,0,0,0,40,0,0,0,0,0,1,7,0,0,0,0,0,0,0
bodyId_1471337839,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,50,2,0
bodyId_1472672056,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,41,4,0,0
bodyId_1472715683,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,26,1,2,0
bodyId_1473052588,0,0,0,0,0,0,0,2,0,0,0,0,0,0,45,1,8,0,0
bodyId_1474088775,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,67,0,0,0
bodyId_1474745046,0,0,4,0,0,0,0,0,0,0,0,0,60,0,0,0,2,0,0
bodyId_1476782322,0,0,0,0,0,0,0,5,0,18,0,0,0,0,3,3,74,0,0
bodyId_1476824820,0,80,1,0,0,0,1,0,0,13,0,0,1,0,0,4,1,0,0
bodyId_1478487190,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,59,0,0,1
bodyId_1479147574,184,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,25
bodyId_1479492693,174,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,0,0,34
bodyId_1479618250,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1480524421,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0
bodyId_1480525157,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
bodyId_1480525262,7,0,1,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,221
bodyId_1482579456,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,2
bodyId_1497973422,0,39,71,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1
bodyId_1499013876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
bodyId_1501111926,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1501729681,0,0,0,0,23,0,0,0,0,0,1,3,1,0,0,0,0,0,0
bodyId_1503754813,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5,75,0,0
bodyId_1504065586,0,0,2,0,2,0,0,0,0,1,0,0,60,0,0,0,2,0,0
bodyId_1504437450,4,4,11,0,0,0,0,0,0,0,0,0,11,24,0,6,1,0,227
bodyId_1505114656,0,0,3,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
bodyId_1507139129,0,20,5,0,0,0,0,0,0,0,0,0,2,89,24,3,1,0,0
bodyId_1507165749,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67,0
bodyId_1507782010,0,0,0,0,0,0,0,0,0,2,0,0,0,0,59,0,0,0,0
bodyId_1508123668,0,0,0,0,0,0,0,0,0,3,0,0,0,0,62,1,4,0,0
bodyId_1508170799,0,9,0,0,0,0,0,0,0,0,0,0,6,87,0,4,0,0,0
bodyId_1508274398,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1508464822,0,0,0,0,0,0,0,0,0,2,0,0,0,0,49,0,6,0,0
bodyId_1510851409,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,4
bodyId_1512232956,89,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bodyId_1535082316,184,1,0,0,0,0,0,0,0,0,0,0,0,12,0,64,0,0,24
bodyId_1535086505,184,6,1,0,0,0,0,0,0,0,0,0,0,9,0,63,0,0,7
bodyId_1535100405,0,85,0,0,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0
bodyId_1535144316,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,68,0,0,0
bodyId_1535198939,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
bodyId_1535471736,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,71,10,0,0
bodyId_1536132286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
bodyId_1536157927,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,43,0,0,0
bodyId_1536486355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,0,0,0
bodyId_1536490336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0
bodyId_1537802851,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,118
bodyId_1538471758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,1,0,0
bodyId_1539193374,16,0,22,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,222
bodyId_1539879204,0,4,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0
bodyId_1541242980,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59,0,0,0
bodyId_1542585886,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
bodyId_1562499450,0,0,0,0,30,0,0,0,0,0,0,5,0,0,0,0,0,0,0
bodyId_1564482235,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,3,0
bodyId_1565824423,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68,0,0,0
bodyId_1566169639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
bodyId_1566182902,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,65,0,0,0
bodyId_1566514624,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,26,1,0,0
bodyId_1566519520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
bodyId_1566519535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,0,0
bodyId_1568181600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,0,0
bodyId_1569209515,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,38,0,0,0
bodyId_1570245517,0,0,0,0,3,0,0,0,0,0,0,1,2,70,0,0,0,0,2
bodyId_1570896561,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,54,1,0,0
bodyId_1572240664,0,53,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
bodyId_1574980522,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,201
bodyId_1594087386,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
bodyId_1594899469,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
