N_out_bodyId,N_out_name,num_LC_synapsing,num_synapses,avg_synapses
947923543,PDM11w_pct,103,2208,21.4368932038835
1449502965,PVL17b_pct,101,535,5.2970297029703
1630678904,AVL05ox_pct,101,505,5
1043143311,ADL02oa_pct,100,453,4.53
5812994205,AVL10f_pct,100,335,3.35
1435791739,PVL07w_pct,99,490,4.94949494949495
1691635022,AVL05ox_pct,98,371,3.78571428571429
1374063129,PVL07w_pct,97,427,4.4020618556701
1633337773,AVL10d_pct,96,316,3.29166666666667
1659590563,PVL17b_pct,96,343,3.57291666666667
1570565128,AVL05og_pct,95,358,3.76842105263158
1480524421,AVL19q_pct,93,294,3.16129032258065
1571246774,AVL19f_pct,93,270,2.90322580645161
1691298247,AVL10f_pct,93,284,3.05376344086022
1632309827,AVL10d_pct,92,315,3.42391304347826
5812991204,AVL05ox_pct,92,246,2.67391304347826
1507139129,AVL05r_pct,89,271,3.04494382022472
1661623550,,89,249,2.79775280898876
1013982515,ADL26b_pct,87,210,2.41379310344828
1508170799,AVL05oi_pct,87,248,2.85057471264368
1600239500,AVL19f_pct,87,233,2.67816091954023
1722005213,,85,185,2.17647058823529
943809606,PVL03y_pct,84,194,2.30952380952381
1357097532,AVL08s_pct,83,170,2.04819277108434
1448452947,AVL19q_pct,83,230,2.7710843373494
1722670598,AVL10q_pct,82,181,2.20731707317073
1447103034,AVL10d_pct,80,187,2.3375
1480525157,AVL19p_pct,80,209,2.6125
1573612290,AVL19n_pct,79,190,2.40506329113924
1603260613,AVL16h_pct,79,163,2.06329113924051
1692304756,AVL19e_pct,79,183,2.31645569620253
1073069488,PVM01oz_pct,75,160,2.13333333333333
1355736858,AVL08f_pct,75,164,2.18666666666667
1540241926,PVL05oz_pct,75,173,2.30666666666667
1691638475,AVL19e_pct,75,216,2.88
1345860891,PVL03y_pct,74,137,1.85135135135135
1752703194,,74,152,2.05405405405405
1570245517,PVL03y_pct,70,156,2.22857142857143
1601603665,AVL19f_pct,70,171,2.44285714285714
1510851409,AVL19e_pct,69,135,1.95652173913043
1136502893,PVL04r_pct,66,110,1.66666666666667
1482579456,AVL19e_pct,65,130,2
1597204590,AVL05ox_pct,65,126,1.93846153846154
1355042626,AVL02f_a_pct,64,119,1.859375
1481547572,AVL19e_pct,63,113,1.79365079365079
5813045465,AVL19e_pct,63,118,1.87301587301587
1292635448,AVL02w_pct,62,100,1.61290322580645
5813046075,AVL10f_pct,62,111,1.79032258064516
1167537600,AVL13ob_pct,60,115,1.91666666666667
1542585886,AVL19p_pct,60,114,1.9
1356061127,AVL08s_pct,56,95,1.69642857142857
1691310419,AVL05og_pct,54,112,2.07407407407407
5813017914,AVL08f_pct,53,80,1.50943396226415
5812983517,AVL10q_pct,50,97,1.94
5813070954,AVL02ow_pct,50,79,1.58
1199556510,PVL04r_pct,49,77,1.57142857142857
1414366899,,49,65,1.3265306122449
1503733177,PDL09h_pct,47,69,1.46808510638298
1449835055,AVL25a_pct,45,69,1.53333333333333
5901205169,AVL05r_pct,45,73,1.62222222222222
1477148598,AVL13u_pct,44,74,1.68181818181818
1661273656,AVL19n_pct,43,58,1.34883720930233
1722336742,,42,64,1.52380952380952
1722341103,,42,60,1.42857142857143
1690698128,AVL05t_pct,41,64,1.5609756097561
1416766624,AVL02f_a_pct,40,52,1.3
1539879164,AVL10c_pct,39,70,1.79487179487179
5813057579,PVL07oi_pct,39,53,1.35897435897436
1662947570,AVL18z_pct,38,51,1.34210526315789
1749274582,,37,50,1.35135135135135
1222104921,AVL01i_pct,36,60,1.66666666666667
1594087386,,36,51,1.41666666666667
1751670945,,36,47,1.30555555555556
5901215834,,36,49,1.36111111111111
1625463216,,34,49,1.44117647058824
5813068801,AVL01i_pct,34,59,1.73529411764706
1344469603,PDL09x_pct,33,50,1.51515151515152
1721996278,,31,53,1.70967741935484
1966860704,,31,52,1.67741935483871
1414073219,AVL05r_pct,30,46,1.53333333333333
1476868405,,30,36,1.2
1757477299,AVL02f_a_pct,30,41,1.36666666666667
1321564092,ADL01ot_pct,29,42,1.44827586206897
1722332519,,29,39,1.3448275862069
1749957192,,26,41,1.57692307692308
1069667685,AVL10c_pct,24,33,1.375
1166778367,AVL11y_b_pct,24,34,1.41666666666667
1504437450,AVL03e_pct,24,26,1.08333333333333
1539547561,AVL02k_pct,24,32,1.33333333333333
1383379730,AVL11y_a_pct,21,29,1.38095238095238
1352335144,AVL10od_pct,20,23,1.15
1128200628,PDL09z_pct,19,26,1.36842105263158
1199573657,AVL02la_pct,19,23,1.21052631578947
1722686768,,19,23,1.21052631578947
