LC_bodyId,LC_type,output_bodyId,output_type,X,Y,Z
1285167873,LC26,295816140,PDL10n_pct,10907,16995,19004
1316194019,LC26,295816140,PDL10n_pct,6167,20642,20931
1412320780,LC26,295816140,PDL10n_pct,7589,19711,20043
1348916717,LC26,295816140,PDL10n_pct,7629,19725,20056
1348584223,LC26,295816140,PDL10n_pct,6527,19667,21350
1348584223,LC26,295816140,PDL10n_pct,6568,19676,21370
1348920795,LC26,295816140,PDL10n_pct,8576,19422,20518
1475391747,LC26,295816140,PDL10n_pct,7755,19627,19962
1904420313,LC26,295816140,PDL10n_pct,7669,19696,19931
1348247173,LC26,296199021,PDM07on_pct,8600,19992,19212
1348580534,LC26,296199021,PDM07on_pct,6876,19906,20128
1348584223,LC26,296199021,PDM07on_pct,6993,19959,19943
1285167873,LC26,296203325,PDM07y_c_pct,12203,16647,18379
1347902152,LC26,296203325,PDM07y_c_pct,10076,18505,19322
1348916717,LC26,296203325,PDM07y_c_pct,10109,18503,19138
1348242642,LC26,296203325,PDM07y_c_pct,9825,18367,19315
1348242642,LC26,296203325,PDM07y_c_pct,9659,18496,19334
1348242642,LC26,296203325,PDM07y_c_pct,9708,18472,19330
1348242642,LC26,296203325,PDM07y_c_pct,9374,18725,19387
1348920548,LC26,296203325,PDM07y_c_pct,10016,18733,19123
1348580534,LC26,296203325,PDM07y_c_pct,9571,18645,19419
1347901684,LC26,296203325,PDM07y_c_pct,10012,19461,19444
1316867205,LC26,296203325,PDM07y_c_pct,10006,18732,19224
1842682322,LC26,296203325,PDM07y_c_pct,9912,18546,19333
1350277508,LC26,296203325,PDM07y_c_pct,9831,18461,19392
1475391747,LC26,296203325,PDM07y_c_pct,9519,18680,19365
1161705902,LC26,296203392,PDM07y_pct,11378,17346,16946
2211737961,LC26,296203392,PDM07y_pct,8299,20227,19470
1316530839,LC26,296203392,PDM07y_pct,9552,18913,19463
1347906163,LC26,296203392,PDM07y_pct,9817,18773,19225
1316194019,LC26,296203392,PDM07y_pct,9940,18770,19563
1316534973,LC26,296203392,PDM07y_pct,7857,19579,20207
1468230494,LC26,296203392,PDM07y_pct,9204,19141,19581
1468230494,LC26,296203392,PDM07y_pct,9166,19161,19580
1468230494,LC26,296203392,PDM07y_pct,6549,20252,20081
1348247173,LC26,296203392,PDM07y_pct,9410,19677,19606
2278224718,LC26,296203392,PDM07y_pct,8916,20036,19289
2278224718,LC26,296203392,PDM07y_pct,6617,20190,19978
1347901726,LC26,296203392,PDM07y_pct,8809,19393,19988
1347902152,LC26,296203392,PDM07y_pct,10087,18794,19374
1348920548,LC26,296203392,PDM07y_pct,7499,19607,20217
1348920548,LC26,296203392,PDM07y_pct,10186,18559,19233
1348580534,LC26,296203392,PDM07y_pct,8960,19864,19422
1380957320,LC26,296203392,PDM07y_pct,6845,20232,20051
1348920795,LC26,296203392,PDM07y_pct,9908,18666,19226
1347901684,LC26,296203392,PDM07y_pct,9793,18774,19242
1347901684,LC26,296203392,PDM07y_pct,9906,18662,19290
1347901684,LC26,296203392,PDM07y_pct,9124,19851,19487
1316867205,LC26,296203392,PDM07y_pct,10006,18732,19224
1316867205,LC26,296203392,PDM07y_pct,9925,18706,19288
2121340624,LC26,296203392,PDM07y_pct,6591,20393,19933
1842682322,LC26,296203392,PDM07y_pct,8784,20079,19380
1842682322,LC26,296203392,PDM07y_pct,9884,18878,19354
1842682322,LC26,296203392,PDM07y_pct,8323,20239,19498
1350277508,LC26,296203392,PDM07y_pct,6559,20217,20069
1475391747,LC26,296203392,PDM07y_pct,7640,19583,20165
1316530839,LC26,296203434,PDM07y_pct,7186,19773,20270
1316530839,LC26,296203434,PDM07y_pct,8700,19299,19475
1316534973,LC26,296203434,PDM07y_pct,6486,19924,20516
1468230494,LC26,296203434,PDM07y_pct,6287,20111,20616
1379277446,LC26,296203434,PDM07y_pct,8927,19128,19495
1347905926,LC26,296203434,PDM07y_pct,5920,20563,20742
1348248235,LC26,296203434,PDM07y_pct,7028,19822,20292
1412320780,LC26,296203434,PDM07y_pct,6558,19938,20489
1412320780,LC26,296203434,PDM07y_pct,6193,20068,20632
1348916717,LC26,296203434,PDM07y_pct,8908,19154,19492
1348916717,LC26,296203434,PDM07y_pct,10077,18569,19080
1348242642,LC26,296203434,PDM07y_pct,6854,19828,20377
1348920548,LC26,296203434,PDM07y_pct,6197,20320,20604
1348920548,LC26,296203434,PDM07y_pct,7891,19800,19790
1348920548,LC26,296203434,PDM07y_pct,6081,20283,20704
1348580534,LC26,296203434,PDM07y_pct,8556,19369,19521
1348580534,LC26,296203434,PDM07y_pct,7336,19811,20180
1348584223,LC26,296203434,PDM07y_pct,6377,20078,20529
1348584223,LC26,296203434,PDM07y_pct,6393,20042,20514
1347901684,LC26,296203434,PDM07y_pct,9772,18815,19254
1347901684,LC26,296203434,PDM07y_pct,9748,18796,19223
1411988034,LC26,296203434,PDM07y_pct,7904,19808,19852
1411988034,LC26,296203434,PDM07y_pct,8832,19200,19436
1411988034,LC26,296203434,PDM07y_pct,7750,19872,19898
1411988034,LC26,296203434,PDM07y_pct,7782,19857,19910
1411988034,LC26,296203434,PDM07y_pct,6513,20009,20510
1411988034,LC26,296203434,PDM07y_pct,8231,19433,19577
1559979355,LC26,296203434,PDM07y_pct,7142,19846,20363
1559979355,LC26,296203434,PDM07y_pct,7041,19862,20309
1559979355,LC26,296203434,PDM07y_pct,6167,20406,20478
1161705902,LC26,326884223,PDM07y_b_pct,9648,18505,18940
2211737961,LC26,328543082,ADL18n_pct,9533,19179,18242
2211737961,LC26,328543082,ADL18n_pct,9550,19202,18203
1316535138,LC26,358514340,PDL13e_pct,11022,17118,18823
1316535138,LC26,358514340,PDL13e_pct,10970,17249,18852
1347906163,LC26,358514340,PDL13e_pct,8184,19897,19807
1316194019,LC26,358514340,PDL13e_pct,8243,19900,19839
1316194019,LC26,358514340,PDL13e_pct,8321,19822,19881
1316194019,LC26,358514340,PDL13e_pct,8261,19906,19843
1376134899,LC26,358514340,PDL13e_pct,10189,18645,19380
1379277446,LC26,358514340,PDL13e_pct,10831,17458,18930
1379277446,LC26,358514340,PDL13e_pct,10809,17463,18970
1379277446,LC26,358514340,PDL13e_pct,10888,17317,18873
1347905926,LC26,358514340,PDL13e_pct,11008,17182,18922
1412320780,LC26,358514340,PDL13e_pct,6058,20054,20799
1348920548,LC26,358514340,PDL13e_pct,9959,18824,19093
1348920548,LC26,358514340,PDL13e_pct,6219,20353,20605
1347906562,LC26,358514340,PDL13e_pct,8909,19979,19870
1348242919,LC26,358514340,PDL13e_pct,5986,20279,20882
1347901684,LC26,358514340,PDL13e_pct,8129,20057,19880
1316867205,LC26,358514340,PDL13e_pct,10006,18732,19224
2121340624,LC26,358514340,PDL13e_pct,6464,20410,20141
1842682322,LC26,358514340,PDL13e_pct,9316,19967,19202
1350277508,LC26,358514340,PDL13e_pct,8938,19934,20013
1559979355,LC26,358514340,PDL13e_pct,8144,20027,19835
1349253404,LC26,358514340,PDL13e_pct,8027,19650,20540
1349253404,LC26,358514340,PDL13e_pct,7968,19644,20539
5813038168,LC26,358514340,PDL13e_pct,9469,19888,19226
1904420313,LC26,358514340,PDL13e_pct,5683,20472,21080
1347906163,LC26,358847551,PDL18g_pct,10629,17403,18888
1161705902,LC26,388267095,PDM07y_b_pct,11442,17469,16599
1468230494,LC26,388267095,PDM07y_b_pct,9072,19307,19583
1348580534,LC26,388267095,PDM07y_b_pct,9890,18876,19700
1842682322,LC26,388267095,PDM07y_b_pct,9805,18859,19273
1161705902,LC26,389195896,PDL12i_pct,10558,17465,18330
2211737961,LC26,421650994,AVL07t_pct,8088,20381,18589
5813045024,LC26,426148655,,9462,20720,19707
2278224718,LC26,426489829,,9060,20122,19382
2278224718,LC26,426489829,,7125,20830,20633
1347901726,LC26,426489829,,9054,19915,19324
1347901684,LC26,426489829,,9079,19907,19361
1161705902,LC26,426494132,,9188,19436,19952
2211737961,LC26,426494132,,9295,20124,19302
1316535138,LC26,426494132,,5765,21081,21085
1316535138,LC26,426494132,,5756,21072,21147
1316534973,LC26,426494132,,8456,19965,19885
1316534973,LC26,426494132,,8454,20002,19968
1376134899,LC26,426494132,,8806,20396,19381
1376134899,LC26,426494132,,8144,19999,20197
2278224718,LC26,426494132,,9962,20091,19594
1348248235,LC26,426494132,,8498,19993,19886
1347902152,LC26,426494132,,9176,19825,19877
1347902152,LC26,426494132,,9218,19805,19894
1347906562,LC26,426494132,,9125,19879,19892
1348920795,LC26,426494132,,9203,20165,19307
1350277508,LC26,426494132,,7971,19892,20128
1411988034,LC26,426494132,,9259,20169,19274
1411988034,LC26,426494132,,9366,20180,19281
1349253404,LC26,426494132,,8511,20019,19837
1411655369,LC26,426494132,,8261,19885,19733
1411655369,LC26,426494132,,8160,19953,20247
2211737961,LC26,449250041,ADL20a_pct,7602,20222,18971
1348920548,LC26,453018720,ADL04w_pct,7709,19973,20423
5813045024,LC26,453018720,ADL04w_pct,8077,20529,20050
1161705902,LC26,456847100,ADL16s_pct,9337,19474,20029
1161705902,LC26,456847100,ADL16s_pct,10111,19208,19793
1161705902,LC26,456847100,ADL16s_pct,9510,19466,20007
2211737961,LC26,483712161,ADL05x_pct,8699,19775,18181
2211737961,LC26,483712161,ADL05x_pct,9496,19274,18204
2211737961,LC26,483712161,ADL05x_pct,9476,19268,18206
2211737961,LC26,483712161,ADL05x_pct,9050,19899,18502
2211737961,LC26,483712161,ADL05x_pct,8183,20618,17753
1347901684,LC26,484359937,AVL08oq_pct,6700,20714,21303
1347901684,LC26,484359937,AVL08oq_pct,6744,20486,21287
1347901684,LC26,484359937,AVL08oq_pct,6688,20741,21344
1347901684,LC26,484359937,AVL08oq_pct,6691,20686,21263
1347901684,LC26,484359937,AVL08oq_pct,6727,20520,21267
1842682322,LC26,484359937,AVL08oq_pct,6221,20962,20946
1285167873,LC26,485037749,ADL14k_pct,9417,19837,19903
1347906163,LC26,485037749,ADL14k_pct,9701,18672,19131
1316534973,LC26,485037749,ADL14k_pct,9807,18716,19515
1316534973,LC26,485037749,ADL14k_pct,9829,18705,19514
1316534973,LC26,485037749,ADL14k_pct,9952,18443,19539
1347905926,LC26,485037749,ADL14k_pct,8185,19432,20743
1347901684,LC26,485037749,ADL14k_pct,9793,18774,19242
1347901684,LC26,485037749,ADL14k_pct,9772,18815,19254
1350277508,LC26,485037749,ADL14k_pct,10314,18742,20109
1349253404,LC26,485037749,ADL14k_pct,6532,19906,21262
1904420313,LC26,485037749,ADL14k_pct,10003,18716,19427
1316535138,LC26,486410031,ADL18a_pct,5727,21006,21066
1347906163,LC26,486410031,ADL18a_pct,5528,20670,20650
1347906163,LC26,486410031,ADL18a_pct,5538,20708,20649
1348580534,LC26,486410031,ADL18a_pct,9571,18645,19419
1348920795,LC26,486410031,ADL18a_pct,4251,22739,21300
1347901684,LC26,486410031,ADL18a_pct,5639,21403,21179
1350277508,LC26,486410031,ADL18a_pct,9337,20184,19159
1347901726,LC26,511685969,PVL17g_pct,10413,17375,19023
1316194019,LC26,515394155,PDL13e_pct,11023,17284,18925
1316534973,LC26,515394155,PDL13e_pct,11037,17211,18831
1350277508,LC26,515394155,PDL13e_pct,6345,20543,20484
1559979355,LC26,519909788,ADL14m_a_pct,6535,20792,20338
1161705902,LC26,543692985,ADL02t_pct,10000,19439,19576
1161705902,LC26,543692985,ADL02t_pct,10072,17944,18704
2211737961,LC26,543692985,ADL02t_pct,7514,19758,20216
2211737961,LC26,543692985,ADL02t_pct,6168,19835,20701
2211737961,LC26,543692985,ADL02t_pct,8128,19547,20052
2211737961,LC26,543692985,ADL02t_pct,8785,20125,19477
1285167873,LC26,543692985,ADL02t_pct,8774,19819,19794
1316530839,LC26,543692985,ADL02t_pct,10954,17077,18747
1316530839,LC26,543692985,ADL02t_pct,10991,16937,18792
1316535138,LC26,543692985,ADL02t_pct,5765,21081,21085
1316535138,LC26,543692985,ADL02t_pct,9148,19852,19710
1316535138,LC26,543692985,ADL02t_pct,10030,19612,19362
1316535138,LC26,543692985,ADL02t_pct,9990,19593,19381
1316535138,LC26,543692985,ADL02t_pct,6358,19984,21679
1316535138,LC26,543692985,ADL02t_pct,6658,20380,21359
1316535138,LC26,543692985,ADL02t_pct,6416,19910,21652
1316535138,LC26,543692985,ADL02t_pct,4238,22138,21072
1316535138,LC26,543692985,ADL02t_pct,6650,19891,20301
1316535138,LC26,543692985,ADL02t_pct,9169,19861,19741
1316535138,LC26,543692985,ADL02t_pct,5756,21072,21147
1316535138,LC26,543692985,ADL02t_pct,8239,19626,20773
1316535138,LC26,543692985,ADL02t_pct,6654,20422,21362
1347906163,LC26,543692985,ADL02t_pct,9766,20139,19456
1347906163,LC26,543692985,ADL02t_pct,5528,20670,20650
1347906163,LC26,543692985,ADL02t_pct,6640,20015,20390
1347906163,LC26,543692985,ADL02t_pct,11117,16714,18572
1347906163,LC26,543692985,ADL02t_pct,6482,19645,21736
1347906163,LC26,543692985,ADL02t_pct,6180,20014,21600
1347906163,LC26,543692985,ADL02t_pct,6269,20028,21580
1347906163,LC26,543692985,ADL02t_pct,11149,16655,18555
1347906163,LC26,543692985,ADL02t_pct,6406,19782,21750
1347906163,LC26,543692985,ADL02t_pct,5538,20708,20649
1347906163,LC26,543692985,ADL02t_pct,11083,16717,18550
1316194019,LC26,543692985,ADL02t_pct,5702,21347,20986
1316194019,LC26,543692985,ADL02t_pct,8861,19381,19253
1316194019,LC26,543692985,ADL02t_pct,8602,19680,20063
1316194019,LC26,543692985,ADL02t_pct,9001,19212,19335
1316194019,LC26,543692985,ADL02t_pct,11258,16740,18748
1316194019,LC26,543692985,ADL02t_pct,9382,19845,19595
1316194019,LC26,543692985,ADL02t_pct,6613,20166,20059
1316194019,LC26,543692985,ADL02t_pct,6167,20642,20931
1316534973,LC26,543692985,ADL02t_pct,9145,19741,19574
1316534973,LC26,543692985,ADL02t_pct,9144,19119,19576
1316534973,LC26,543692985,ADL02t_pct,7746,19596,20252
1316534973,LC26,543692985,ADL02t_pct,9075,19187,19614
1376134899,LC26,543692985,ADL02t_pct,6219,20122,21349
1376134899,LC26,543692985,ADL02t_pct,8701,19898,19956
1376134899,LC26,543692985,ADL02t_pct,6324,20063,21458
1468230494,LC26,543692985,ADL02t_pct,9779,19781,19477
1468230494,LC26,543692985,ADL02t_pct,9448,19874,19598
1468230494,LC26,543692985,ADL02t_pct,5198,20857,21022
1468230494,LC26,543692985,ADL02t_pct,9817,19597,19405
1468230494,LC26,543692985,ADL02t_pct,4361,22626,21138
1468230494,LC26,543692985,ADL02t_pct,4284,22572,21055
1379277446,LC26,543692985,ADL02t_pct,9101,19989,19396
1379277446,LC26,543692985,ADL02t_pct,5609,20462,20631
1379277446,LC26,543692985,ADL02t_pct,6306,20396,20699
1379277446,LC26,543692985,ADL02t_pct,10274,18002,19257
1379277446,LC26,543692985,ADL02t_pct,5577,20414,20638
1379277446,LC26,543692985,ADL02t_pct,5600,20373,20659
1379277446,LC26,543692985,ADL02t_pct,6196,20452,20784
1347905926,LC26,543692985,ADL02t_pct,6475,20355,20511
1347905926,LC26,543692985,ADL02t_pct,5523,21008,20778
2278224718,LC26,543692985,ADL02t_pct,8916,20036,19289
2278224718,LC26,543692985,ADL02t_pct,9130,18950,19452
2278224718,LC26,543692985,ADL02t_pct,7686,19616,20267
2278224718,LC26,543692985,ADL02t_pct,9151,18896,19389
2278224718,LC26,543692985,ADL02t_pct,6668,19979,20501
2278224718,LC26,543692985,ADL02t_pct,5867,20255,20618
2278224718,LC26,543692985,ADL02t_pct,9367,18668,19275
2278224718,LC26,543692985,ADL02t_pct,5543,21068,20826
