LC_bodyId,LC_type,output_bodyId,output_type,X,Y,Z
1229507863,LC6,418607079,,9899,21907,19483
1230531237,LC6,418607079,,9896,21811,19404
1563389824,LC6,418607079,,9933,22134,19368
1563389824,LC6,418607079,,9925,22218,19297
5813090856,LC6,426489829,,9044,21946,19747
1293011130,LC6,426489829,,10413,20337,20174
1167438189,LC6,426489829,,10840,22220,20314
1167783672,LC6,426489829,,9950,20462,20662
1199504502,LC6,426489829,,11042,21430,19193
1198132028,LC6,426489829,,11178,21371,20423
1198132028,LC6,426489829,,5029,22769,21246
1198132028,LC6,426489829,,11190,21300,20468
1200195625,LC6,426489829,,5127,22417,21304
1199159635,LC6,426489829,,10817,21800,20321
1199850242,LC6,426489829,,10785,21973,20238
1199850242,LC6,426489829,,10094,20558,19735
1168129036,LC6,426489829,,9833,20401,20597
1198477590,LC6,426489829,,10802,21866,20195
1231955849,LC6,426489829,,8572,21611,20583
1658199518,LC6,426489829,,11238,20873,19456
1232249314,LC6,426489829,,8345,21650,19998
1230531237,LC6,426489829,,8497,21580,20536
1201568464,LC6,426489829,,10732,21469,20316
5812989090,LC6,426489829,,9479,20268,20457
5812989090,LC6,426489829,,10809,21843,20156
1261561493,LC6,426489829,,11205,21236,20608
1261561493,LC6,426489829,,11253,21132,20486
1563389824,LC6,426489829,,10332,22199,19777
1563389824,LC6,426489829,,11120,21549,20238
1200541130,LC6,426489829,,10358,22096,19348
1261220560,LC6,426489829,,9353,21109,20534
1261907163,LC6,426489829,,10480,22003,19669
1261907163,LC6,426489829,,8328,21248,20038
1261907163,LC6,426489829,,10562,21567,20589
1261907163,LC6,426489829,,10339,22126,19785
1261907163,LC6,426489829,,6395,22016,21256
5812989550,LC6,426489829,,10947,20217,20059
1232594718,LC6,426489829,,11107,21023,19318
1231619255,LC6,426489841,,5656,22516,21281
1231619255,LC6,426489841,,10198,20953,19983
1231619255,LC6,426489841,,6988,22120,21141
5813090856,LC6,426489841,,10802,20288,20145
5813090856,LC6,426489841,,10001,21810,20267
1292670202,LC6,426489841,,8967,20903,20253
1292670202,LC6,426489841,,10482,21090,20396
1293011130,LC6,426489841,,9960,20946,20148
1293011130,LC6,426489841,,9904,20783,20223
1293011130,LC6,426489841,,9964,20828,20195
1167438288,LC6,426489841,,11477,21049,20122
1167438288,LC6,426489841,,7341,21638,20786
1167438189,LC6,426489841,,8194,21318,20642
1167783672,LC6,426489841,,11735,22250,19555
1167783672,LC6,426489841,,9830,21860,20021
1167438283,LC6,426489841,,9760,20503,20319
1938536260,LC6,426489841,,9817,21923,20294
1938536260,LC6,426489841,,9850,21898,20246
1938536260,LC6,426489841,,11461,22037,19589
1168815348,LC6,426489841,,8909,21441,20020
1198818609,LC6,426489841,,9742,21804,20573
1534059927,LC6,426489841,,9852,21924,20307
1534059927,LC6,426489841,,7029,21926,20547
1534059927,LC6,426489841,,9879,21915,20265
1534059927,LC6,426489841,,11110,21738,19545
1198132028,LC6,426489841,,9254,20936,20240
1198132028,LC6,426489841,,9452,20823,20195
1198132028,LC6,426489841,,11645,22251,19552
1198132028,LC6,426489841,,9322,20818,20124
1198132028,LC6,426489841,,5700,22480,21281
1200195625,LC6,426489841,,9620,21861,19712
1167097258,LC6,426489841,,9982,20654,20293
1167097258,LC6,426489841,,5217,22894,21452
1201568417,LC6,426489841,,10957,21551,20625
1201568417,LC6,426489841,,10977,21548,20592
1201568417,LC6,426489841,,11468,20855,20294
1200541193,LC6,426489841,,9565,21839,19733
1200541193,LC6,426489841,,9892,21460,19887
1229507863,LC6,426489841,,9899,21907,19483
1199159635,LC6,426489841,,10518,21178,20412
1199159635,LC6,426489841,,8202,21095,20514
1199159635,LC6,426489841,,10527,21148,20382
1199159635,LC6,426489841,,9316,20852,20119
1199850242,LC6,426489841,,10426,21380,19699
1168129036,LC6,426489841,,6907,21222,21175
1168129036,LC6,426489841,,11377,21138,20082
1168129036,LC6,426489841,,10185,20998,19967
1168129036,LC6,426489841,,6892,21214,21219
1168129036,LC6,426489841,,6970,21201,21187
1198477590,LC6,426489841,,9086,20830,20281
5812986572,LC6,426489841,,10907,21448,20543
5812986572,LC6,426489841,,7224,21216,21062
5812986572,LC6,426489841,,9781,20458,20208
5812986572,LC6,426489841,,10466,21465,19632
1231955849,LC6,426489841,,7197,21760,20688
1231955849,LC6,426489841,,11760,22014,19526
1231955849,LC6,426489841,,10099,20724,19832
1231955849,LC6,426489841,,5712,22614,21390
1658199518,LC6,426489841,,10549,21254,19571
1658199518,LC6,426489841,,6622,21915,21321
1658199518,LC6,426489841,,6583,21969,21269
1658199518,LC6,426489841,,10580,21311,19606
1658199518,LC6,426489841,,9874,21821,20191
1231955783,LC6,426489841,,10874,20195,20137
1232249325,LC6,426489841,,9991,20935,19803
1232249325,LC6,426489841,,5800,22714,21573
1232249314,LC6,426489841,,9983,22049,19149
1232249314,LC6,426489841,,9942,22089,19161
1232249314,LC6,426489841,,11434,22117,19517
1259852010,LC6,426489841,,10618,20430,20207
1259852010,LC6,426489841,,9018,21508,20085
1259852010,LC6,426489841,,8947,21540,20003
1230531237,LC6,426489841,,11298,22172,19521
1230531237,LC6,426489841,,10224,21748,19665
1230531237,LC6,426489841,,9951,21803,19444
1230531237,LC6,426489841,,9822,21804,20028
1230531237,LC6,426489841,,10220,21724,19631
1230531237,LC6,426489841,,10000,21789,19479
1230531237,LC6,426489841,,11040,21666,19619
1201568464,LC6,426489841,,12024,22523,19449
1201568464,LC6,426489841,,8832,21678,20687
1232262131,LC6,426489841,,9830,21699,19830
5812989090,LC6,426489841,,11114,21904,19548
1627509034,LC6,426489841,,10415,21322,19542
1627509034,LC6,426489841,,10501,21376,19667
1627509034,LC6,426489841,,9229,21645,19852
1261220478,LC6,426489841,,9816,20690,20319
1261565726,LC6,426489841,,7268,21448,20928
1261565726,LC6,426489841,,10355,21483,19604
1230190149,LC6,426489841,,11000,21568,19855
1230190149,LC6,426489841,,9085,21437,20067
1230190149,LC6,426489841,,11011,22190,19579
1230190149,LC6,426489841,,10855,21256,20557
1230190149,LC6,426489841,,10842,21272,20541
1259851971,LC6,426489841,,8867,21639,20710
1259851971,LC6,426489841,,9871,21585,19815
1259851971,LC6,426489841,,11078,21188,20021
1260879601,LC6,426489841,,10573,20828,20252
1260879601,LC6,426489841,,8700,21744,20746
1260879601,LC6,426489841,,10172,20596,20558
1261561493,LC6,426489841,,10400,20643,20162
1563389824,LC6,426489841,,9815,21924,20335
1563389824,LC6,426489841,,10053,20526,20368
1563389824,LC6,426489841,,11743,22277,19646
1563389824,LC6,426489841,,7037,21230,21165
1200541130,LC6,426489841,,6982,21923,20547
1200541130,LC6,426489841,,7181,21751,20617
1261220560,LC6,426489841,,5423,23025,21198
1261220560,LC6,426489841,,9965,20636,20354
1261907163,LC6,426489841,,11062,21232,19906
5812989550,LC6,426489841,,10954,20237,19956
1232594718,LC6,426489841,,10451,20677,20194
1232594718,LC6,426489841,,9807,21787,20442
1232594718,LC6,426489841,,9920,21824,20382
1232257688,LC6,426489841,,11322,21177,20033
1232257688,LC6,426489841,,10278,20824,20102
5813048670,LC6,426489841,,10872,20263,20092
5813048670,LC6,426489841,,11240,21628,20565
5813048670,LC6,426489841,,9939,20924,20109
1200195625,LC6,426494132,,10618,21696,20054
1229507863,LC6,426494132,,10671,21628,19812
1198477590,LC6,426494132,,10716,20324,19694
1259852010,LC6,426494132,,10622,21590,20227
5812989090,LC6,426494132,,10705,21829,20163
5812989090,LC6,426494132,,10701,21777,20155
5812989090,LC6,426494132,,10622,21637,20417
1658199518,LC6,483712161,ADL05x_pct,10581,20049,19471
1200195625,LC6,484359937,AVL08oq_pct,6467,22468,21460
1169847128,LC6,484359937,AVL08oq_pct,6388,22738,21345
1229849059,LC6,485037749,ADL14k_pct,5526,21612,20942
1229849059,LC6,485037749,ADL14k_pct,5577,21490,20866
1259851971,LC6,485037749,ADL14k_pct,5999,22016,21164
1167438283,LC6,486410031,ADL18a_pct,7336,22054,20997
1200195625,LC6,486410031,ADL18a_pct,8360,21468,20534
1200195625,LC6,486410031,ADL18a_pct,8390,21435,20525
1200541193,LC6,486410031,ADL18a_pct,8400,21385,20515
1199159635,LC6,486410031,ADL18a_pct,9734,21116,20279
1100558968,LC6,486410031,ADL18a_pct,7697,21045,20387
1100558968,LC6,486410031,ADL18a_pct,7650,21043,20430
1229849059,LC6,486410031,ADL18a_pct,8369,21507,20552
1259851971,LC6,486410031,ADL18a_pct,8243,21558,20633
1259851971,LC6,486410031,ADL18a_pct,9490,21148,19858
5813048670,LC6,486410031,ADL18a_pct,7178,22293,21152
5813048670,LC6,486410031,ADL18a_pct,10558,19897,20024
1231619255,LC6,519909788,ADL14m_a_pct,10278,20824,20531
1231619255,LC6,519909788,ADL14m_a_pct,11374,21249,20316
1231619255,LC6,519909788,ADL14m_a_pct,10476,20692,20506
1231619255,LC6,519909788,ADL14m_a_pct,7438,21682,20837
1231619255,LC6,519909788,ADL14m_a_pct,6153,21294,21204
1231619255,LC6,519909788,ADL14m_a_pct,10060,20717,20632
1231619255,LC6,519909788,ADL14m_a_pct,9868,21962,19754
1231619255,LC6,519909788,ADL14m_a_pct,8193,21469,20663
5813090856,LC6,519909788,ADL14m_a_pct,10044,22011,20198
5813090856,LC6,519909788,ADL14m_a_pct,10038,22034,20146
5813090856,LC6,519909788,ADL14m_a_pct,10017,21980,20161
5813090856,LC6,519909788,ADL14m_a_pct,11009,21087,20453
1292670202,LC6,519909788,ADL14m_a_pct,7375,21994,20682
1292670202,LC6,519909788,ADL14m_a_pct,6618,21316,20976
1293011130,LC6,519909788,ADL14m_a_pct,11195,20904,19820
1293011130,LC6,519909788,ADL14m_a_pct,11139,20856,19839
1293011130,LC6,519909788,ADL14m_a_pct,11875,21552,19869
1351317122,LC6,519909788,ADL14m_a_pct,9197,21724,20791
1351317122,LC6,519909788,ADL14m_a_pct,11573,22052,20024
1167438288,LC6,519909788,ADL14m_a_pct,10126,20749,20782
1167438288,LC6,519909788,ADL14m_a_pct,11888,21476,19826
1167438288,LC6,519909788,ADL14m_a_pct,10057,20770,20812
1167438288,LC6,519909788,ADL14m_a_pct,5098,23157,21511
1167438288,LC6,519909788,ADL14m_a_pct,6954,21323,20986
1167438288,LC6,519909788,ADL14m_a_pct,11922,21508,19800
1167438189,LC6,519909788,ADL14m_a_pct,8796,20572,20292
1167438189,LC6,519909788,ADL14m_a_pct,10840,22220,20314
1167438189,LC6,519909788,ADL14m_a_pct,11018,22249,20396
1167783672,LC6,519909788,ADL14m_a_pct,10057,22054,20423
1167783672,LC6,519909788,ADL14m_a_pct,10073,22061,20424
1167438283,LC6,519909788,ADL14m_a_pct,10885,21172,20103
1167438283,LC6,519909788,ADL14m_a_pct,10867,21267,20057
1167438283,LC6,519909788,ADL14m_a_pct,8885,21695,20634
1167438283,LC6,519909788,ADL14m_a_pct,10853,21125,20042
1167438283,LC6,519909788,ADL14m_a_pct,11003,21285,20580
1167438283,LC6,519909788,ADL14m_a_pct,10478,21289,20184
1938536260,LC6,519909788,ADL14m_a_pct,10427,22096,19436
1938536260,LC6,519909788,ADL14m_a_pct,10733,21193,19727
1938536260,LC6,519909788,ADL14m_a_pct,10451,22102,19441
1938536260,LC6,519909788,ADL14m_a_pct,11864,22366,19735
1168815348,LC6,519909788,ADL14m_a_pct,10787,21036,19659
1168815348,LC6,519909788,ADL14m_a_pct,10139,21913,19928
1168815348,LC6,519909788,ADL14m_a_pct,9885,21639,20360
1199504502,LC6,519909788,ADL14m_a_pct,10701,20926,20010
1199159353,LC6,519909788,ADL14m_a_pct,10737,21434,20819
1231614730,LC6,519909788,ADL14m_a_pct,10224,20734,20620
1231614730,LC6,519909788,ADL14m_a_pct,10163,20867,20673
1198818609,LC6,519909788,ADL14m_a_pct,10902,21667,20108
1198818609,LC6,519909788,ADL14m_a_pct,6204,21597,21234
1198818609,LC6,519909788,ADL14m_a_pct,6253,21477,21229
1198818609,LC6,519909788,ADL14m_a_pct,8723,21162,20370
1534059927,LC6,519909788,ADL14m_a_pct,10757,21239,19643
1534059927,LC6,519909788,ADL14m_a_pct,10807,21977,19888
