LC_bodyId,LC_type,output_bodyId,output_type,X,Y,Z
1875409122,LC25,295816140,PDL10n_pct,7409,20106,19743
1966494349,LC25,296199021,PDM07on_pct,7429,20057,19293
1350268702,LC25,296199021,PDM07on_pct,9071,19783,19149
2243458832,LC25,358514340,PDL13e_pct,8444,19680,20357
1382002299,LC25,358514340,PDL13e_pct,9714,19506,20113
1443026992,LC25,358514340,PDL13e_pct,9539,19607,20029
1350268702,LC25,426148655,,6721,20201,21082
1443026992,LC25,426489841,,6057,22577,21662
1315084914,LC25,447228814,PDL11oa_pct,4117,24273,23328
1500953002,LC25,447228814,PDL11oa_pct,4629,21430,23364
1500953002,LC25,447228814,PDL11oa_pct,4644,21236,23321
1967844926,LC25,449949172,PDL27d_pct,6321,20689,21199
1412332938,LC25,449949172,PDL27d_pct,6846,20275,20925
2088950218,LC25,453018720,ADL04w_pct,5481,20980,21512
2088950218,LC25,453018720,ADL04w_pct,5667,20945,21519
2031266973,LC25,453018720,ADL04w_pct,7448,20269,19402
1380957285,LC25,453018720,ADL04w_pct,6932,20142,21090
1380957285,LC25,486410031,ADL18a_pct,4808,21320,21654
1933429987,LC25,486410031,ADL18a_pct,5110,21425,21391
1967844926,LC25,486410031,ADL18a_pct,3416,24018,21227
1375798493,LC25,486410031,ADL18a_pct,8308,20533,20956
1443364051,LC25,486410031,ADL18a_pct,4657,24111,21980
2243458832,LC25,515394155,PDL13e_pct,7688,20520,19379
2088950218,LC25,517086196,AVL27d_pct,4496,22978,21866
2000903820,LC25,517086196,AVL27d_pct,4981,22406,21831
1658155884,LC25,517086196,AVL27d_pct,4946,22312,21857
1443026992,LC25,543692985,ADL02t_pct,9672,19575,20251
1933429987,LC25,544383511,ADL07d_pct,6052,20681,21206
1381298126,LC25,544383511,ADL07d_pct,6629,20194,20924
1750929611,LC25,544383511,ADL07d_pct,6267,20501,20974
2001633881,LC25,574395727,PDL09e_pct,8948,19641,18953
2001633881,LC25,574395727,PDL09e_pct,8919,19541,18928
2088950218,LC25,574395727,PDL09e_pct,6011,20237,21439
2308585856,LC25,574395727,PDL09e_pct,8892,19513,18986
1875409122,LC25,574395727,PDL09e_pct,5990,19931,21507
1624083046,LC25,574395727,PDL09e_pct,6016,19918,21638
1350268702,LC25,575081131,ADL24r_pct,6374,20683,20333
1315084914,LC25,577123102,PDL13e_pct,4396,22705,21491
1381298126,LC25,577123102,PDL13e_pct,7258,19712,21205
2243458832,LC25,577123102,PDL13e_pct,4210,22391,21538
1624083046,LC25,577123102,PDL13e_pct,5095,22252,21787
1443026992,LC25,577123102,PDL13e_pct,6053,19903,22417
1443026992,LC25,577123102,PDL13e_pct,4309,22992,21638
1777227052,LC25,577123102,PDL13e_pct,4319,22654,21475
1777227052,LC25,577123102,PDL13e_pct,4348,22783,21478
1658155884,LC25,577123102,PDL13e_pct,4285,22809,21538
2088950218,LC25,581262846,ADL14s_pct,7200,21228,18906
2088950218,LC25,581262846,ADL14s_pct,7547,20537,19387
2088950218,LC25,581262846,ADL14s_pct,7567,20597,19377
2031266973,LC25,581262846,ADL14s_pct,7431,20357,19463
2031266973,LC25,581262846,ADL14s_pct,7333,20296,19486
2031266973,LC25,581262846,ADL14s_pct,3468,23754,21279
1350268702,LC25,581262846,ADL14s_pct,7312,20495,20810
1350268702,LC25,581262846,ADL14s_pct,7305,20501,20837
1933429987,LC25,581262846,ADL14s_pct,7413,21057,21086
1967844926,LC25,581262846,ADL14s_pct,9237,19475,20581
1381298126,LC25,581262846,ADL14s_pct,9329,19680,20635
1381298126,LC25,581262846,ADL14s_pct,9414,19697,20559
1381298126,LC25,581262846,ADL14s_pct,8386,20494,20118
